"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"3069","Lycalopex fulvipes",996573,"Canidae","Carnivora",5146.58,0,"Yes",-43.0743315,"Endangered","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.0000000000009,-43.0081393014272,"Wild","","Laurasiatheria"
"3070","Lycalopex griseus",776070,"Canidae","Carnivora",5146.58,0,"Yes",NA,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3071","Lycalopex gymnocercus",839340,"Canidae","Carnivora",4542.67,1,"Yes",-34.9125,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.9444928743178,-31.2094895675561,"Wild","","Laurasiatheria"
"3072","Lycalopex sechurae",313143,"Canidae","Carnivora",4234,1,"Yes",-6.03,"Near Threatened","handicrafts_jewellery","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.7472110456274,-5.51397675835894,"Wild","","Laurasiatheria"
"3073","Lycalopex vetulus",313153,"Canidae","Carnivora",4233.47,1,"Yes",-19.634701,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54,-21.0033503084764,"Wild","","Laurasiatheria"
"3074","Lycaon pictus",821953,"Canidae","Carnivora",22050.07,1,"Yes",-19.0283945,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.801585899189,-21.6782105620804,"Wild","","Laurasiatheria"
"3075","Lyncodon patagonicus",901933,"Mustelidae","Carnivora",225,1,"Yes",-39.91649,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.489091207018,-40.5237909812584,"Partially-domesticated","","Laurasiatheria"
"3076","Lynx canadensis",507549,"Felidae","Carnivora",9373.25,1,"Yes",61.655833,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.565911951537,63.427702306245,"Wild","","Laurasiatheria"
"3077","Lynx lynx",886829,"Felidae","Carnivora",17950,1,"Yes",61.225171,"Least Concern","medicine","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7365361380598,64.529704272793,"Wild","","Laurasiatheria"
"3078","Lynx pardinus",442049,"Felidae","Carnivora",9400,1,"Yes",38.529999,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.78387561870857,38.8309056156084,"Wild","","Laurasiatheria"
"3079","Lynx rufus",507545,"Felidae","Carnivora",8904.1,1,"Yes",36.756964,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.9378045208611,38.9451372416811,"Wild","","Laurasiatheria"
"3080","Lynx spelaea",7656142,"Felidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3081","Lynx vulgaris",6145642,"Felidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3082","Macaca arctoides",689665,"Cercopithecidae","Primates",5000,1,"Yes",12.405785,"Vulnerable","food_human","medicine","pets_display_animals_horticulture","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4972779546674,11.5651868018772,"Wild","","Euarchontoglires"
"3083","Macaca balantak",660441,"Cercopithecidae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3084","Macaca brunnescens",169936,"Cercopithecidae","Primates",NA,NA,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3085","Macaca cyclopis",1067495,"Cercopithecidae","Primates",6000,1,"Yes",23.482,"Least Concern","food_human","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,23.0333804286694,"Wild","","Euarchontoglires"
"3086","Macaca hecki",575296,"Cercopithecidae","Primates",5786.96,0,"Yes",0.74017,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.666666666667,0.333399165236288,"Wild","","Euarchontoglires"
"3087","Macaca leonina",115044,"Cercopithecidae","Primates",5786.96,0,"Yes",14.03,"Vulnerable","food_human","medicine","other","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.657603546744,13.468199199936,"Wild","","Euarchontoglires"
"3088","Macaca leucogenys",6145111,"Cercopithecidae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3089","Macaca maura",169928,"Cercopithecidae","Primates",7300,1,"Yes",-4.945075,"Endangered","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.999999999999,-5.00076357997971,"Wild","","Euarchontoglires"
"3090","Macaca munzala",927559,"Cercopithecidae","Primates",NA,NA,"Yes",27.191983,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9999999999993,27.0044471007292,"Wild","","Euarchontoglires"
"3091","Macaca nigra",111862,"Cercopithecidae","Primates",6400,1,"Yes",1.474841,"Critically Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1.00015234351658,"Wild","","Euarchontoglires"
"3092","Macaca nigrescens",169927,"Cercopithecidae","Primates",5786.96,0,"Yes",0.533333,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,1,"Wild","","Euarchontoglires"
"3093","Macaca ochreata",575293,"Cercopithecidae","Primates",2600,1,"Yes",-3.966667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.333876143668,-3.66884015003935,"Wild","","Euarchontoglires"
"3094","Macaca pagensis",825636,"Cercopithecidae","Primates",4534.66,1,"Yes",NA,"Critically Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3095","Macaca prisca",7655032,"Cercopithecidae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3096","Macaca siberu",311720,"Cercopithecidae","Primates",5786.96,0,"Yes",NA,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3097","Macaca silenus",111864,"Cercopithecidae","Primates",4750,1,"Yes",13.5087,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6680334613229,10.33903956731,"Wild","","Euarchontoglires"
"3098","Macaca sinica",115446,"Cercopithecidae","Primates",3590,1,"Yes",7.3,"Endangered","pets_display_animals_horticulture","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1990215401552,7.40851533353608,"Wild","","Euarchontoglires"
"3099","Macaca speciosa",115444,"Cercopithecidae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3100","Macaca sylvanus",689645,"Cercopithecidae","Primates",7000.03,1,"Yes",36.042091,"Endangered","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.12287598674286,33.0867032485881,"Wild","","Euarchontoglires"
"3101","Macaca tonkeana",407753,"Cercopithecidae","Primates",9000,1,"Yes",0.316667,"Vulnerable","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.5,-0.500095220137895,"Wild","","Euarchontoglires"
"3102","Macroderma gigas",289141,"Megadermatidae","Chiroptera",126.43,1,"Yes",-16.3940275,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.850683880579,-14.9035899276438,"Wild","","Laurasiatheria"
"3103","Macrogalidia musschenbroekii",220532,"Viverridae","Carnivora",4000,1,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3104","Macroglossus australis",7656272,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3105","Macroglossus minimus",10730,"Pteropodidae","Chiroptera",16.37,1,"Yes",-4.2,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.880911611507,9.53567588165632,"Wild","","Laurasiatheria"
"3106","Macroglossus sobrinus",606018,"Pteropodidae","Chiroptera",22.13,1,"Yes",-6.13,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,3.00472995246889,"Wild","","Laurasiatheria"
"3107","Macronycteris vittatus",7067773,"Hipposideridae","Chiroptera",NA,NA,"Yes",NA,"Near Threatened","other_household_goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3108","Macrophyllum macrophyllum",201785,"Phyllostomidae","Chiroptera",8.1,1,"Yes",4.683,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.5741750624109,5.00983737736238,"Wild","","Laurasiatheria"
"3109","Macropus argentatus",7657194,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3110","Macropus fuliginosus",42481,"Macropodidae","Diprotodontia",22000,1,"Yes",-33.125,"Least Concern","food_animal","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.700382898512,-31.8802242761071,"Wild","","Marsupials & monotremes"
"3111","Macropus goliah",3607006,"Macropodidae","Diprotodontia",NA,NA,"Yes",-32.656113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.421420433363,-33.4773990519116,"Wild","","Marsupials & monotremes"
"3112","Macropus greyi",3606971,"Macropodidae","Diprotodontia",10000,1,"Yes",-36.965279,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.000000000002,-37.0065771188708,"Wild","","Marsupials & monotremes"
"3113","Macropus hagenbecki",7657195,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3114","Macropus keysseri",7657196,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3115","Macropus lugens",7657197,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3116","Macropus magnus",7657198,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3117","Macropus major",3606982,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3118","Macropus melanops",7657199,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3119","Macropus ocydromus",7657200,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3120","Macropus rufiventer",7657201,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3121","Macropus siva",3606981,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3122","Macropus ualabatus",7657202,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3123","Macropus vishnu",7657203,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"3124","Macroscelides brachyura",7654222,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3125","Macroscelides delamerei",7654223,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3126","Macroscelides edwardsii",7654224,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3127","Macroscelides flavicaudatus",928175,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3128","Macroscelides melanotis",7654225,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3129","Macroscelides micus",5819810,"Macroscelididae","Macroscelidea",NA,NA,"Yes",-20.58907,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6694849574037,-20.3450324803641,"Wild","","Afrotheria"
"3130","Macroscelides typicus",7654226,"Macroscelididae","Macroscelidea",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Afrotheria"
"3131","Macrotarsomys bastardi",611279,"Nesomyidae","Rodentia",25,1,"Yes",-21.452777,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6625927703841,-21.4994019783516,"Wild","","Euarchontoglires"
"3132","Macrotarsomys ingens",463472,"Nesomyidae","Rodentia",55,1,"Yes",-16.227,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,-17,"Wild","","Euarchontoglires"
"3133","Macrotis lagotis",940704,"Thylacomyidae","Peramelemorphia",1350,1,"Yes",-34.9523,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.582461749323,-21.9480475452975,"Wild","","Marsupials & monotremes"
"3134","Macrotis leucura",4943686,"Thylacomyidae","Peramelemorphia",354,1,"Yes",-25.5,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,-23.0333804286694,"Wild","","Marsupials & monotremes"
"3135","Macrotus californicus",289162,"Phyllostomidae","Chiroptera",11.63,1,"Yes",32.41417,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.92805637692,29.5811859420716,"Wild","","Laurasiatheria"
"3136","Macrotus waterhousii",267994,"Phyllostomidae","Chiroptera",12.75,1,"Yes",19.23333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.522376678389,24.970857879593,"Wild","","Laurasiatheria"
"3137","Macruromys elegans",3608697,"Muridae","Rodentia",277.9,2,"Yes",-3.5,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,-3,"Wild","","Euarchontoglires"
"3138","Macruromys major",692534,"Muridae","Rodentia",350,1,"Yes",-6.25953805464979,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,-7.00107163467528,"Wild","","Euarchontoglires"
"3139","Madoqua cavendishi",7655517,"Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3140","Madoqua cordeauxi",7655518,"Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"3141","Madoqua guentheri",40168,"Bovidae","Artiodactyla",7499.98,1,"Yes",4.091667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.701697225492,4.70690777389676,"Wild","","Laurasiatheria"
"3142","Madoqua kirkii",40128,"Bovidae","Artiodactyla",5300.05,1,"Yes",-3.3581115,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5722036489372,-1.72107500551657,"Wild","","Laurasiatheria"
"3143","Madoqua piacentinii",3611682,"Bovidae","Artiodactyla",2500,1,"Yes",-3.243867,"Data Deficient","food_human","handicrafts_jewellery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,-3,"Wild","","Laurasiatheria"
"3144","Madoqua saltiana",1055459,"Bovidae","Artiodactyla",3249.97,1,"Yes",9.166667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1650524868776,9.18599926482209,"Wild","","Laurasiatheria"
"3145","Madoqua swaynei",7655519,"Bovidae","Artiodactyla",NA,NA,"Yes",11.634563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,11,"Wild","","Laurasiatheria"
"3146","Madromys blanfordi",3608766,"Muridae","Rodentia",71.33,0,"Yes",6.58333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,3.00045740230185,"Wild","","Euarchontoglires"
"3147","Makalata didelphoides",360961,"Echimyidae","Rodentia",398.66,1,"Yes",4.53,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.499009090511,3.75353499434477,"Wild","","Euarchontoglires"
"3148","Makalata macrura",264064,"Echimyidae","Rodentia",439,1,"Yes",2.43,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.6672090353962,-4.33563706315323,"Wild","","Euarchontoglires"
"3149","Makalata obscura",3609804,"Echimyidae","Rodentia",108,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3150","Malacomys cansdalei",685881,"Muridae","Rodentia",68.39,2,"Yes",5.833,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.50490562563826,6.25689371654314,"Wild","","Euarchontoglires"
"3151","Malacomys edwardsi",371840,"Muridae","Rodentia",64.95,1,"Yes",5.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.63067455583643,6.75714398784152,"Wild","","Euarchontoglires"
"3152","Malacomys longipes",782347,"Muridae","Rodentia",95.6,1,"Yes",0.5,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3035750544085,2.13656330847572,"Wild","","Euarchontoglires"
"3153","Malacothrix typica",600700,"Nesomyidae","Rodentia",13.4,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3154","Mallomys aroaensis",3608696,"Muridae","Rodentia",1664,1,"Yes",-7.38361983226345,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.999999999999,-5.00076357997971,"Wild","","Euarchontoglires"
"3155","Mallomys aroensis",66773,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3156","Mallomys gunung",3608694,"Muridae","Rodentia",2000,1,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3157","Mallomys istapantap",3608695,"Muridae","Rodentia",1950,1,"Yes",-6.10585474790304,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,-7,"Wild","","Euarchontoglires"
"3158","Mallomys rothschildi",66771,"Muridae","Rodentia",1157.5,1,"Yes",-3.9167,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,-5.00076357997973,"Wild","","Euarchontoglires"
"3159","Malpaisomys insularis",3611197,"Muridae","Rodentia",71.33,0,"Yes",28.616671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,29,"Wild","incertae_sedis_inherited","Euarchontoglires"
"3160","Mammelomys lanosus",66775,"Muridae","Rodentia",117.1,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3161","Mammelomys rattoides",66765,"Muridae","Rodentia",209.49,1,"Yes",-3.312,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,-4.00244214969981,"Wild","","Euarchontoglires"
"3162","Mandrillus leucophaeus",741057,"Cercopithecidae","Primates",14999.96,1,"Yes",4.65,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79921644535905,4.60566557179547,"Wild","","Euarchontoglires"
"3163","Mandrillus sphinx",741047,"Cercopithecidae","Primates",18249.88,1,"Yes",3.0167,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1441549191563,2.43835324764459,"Wild","","Euarchontoglires"
"3164","Manis crassicaudata",3613429,"Manidae","Pholidota",8457.33,1,"Yes",18.919453,"Endangered","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,8.00490832203994,"Wild","","Laurasiatheria"
"3165","Manis culionensis",3613428,"Manidae","Pholidota",5982.25,0,"Yes",9.75,"Critically Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.999999999999,9.00138234307658,"Wild","","Laurasiatheria"
"3166","Manis gigantea",3613427,"Manidae","Pholidota",32999.7,1,"Yes",6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33362124198674,10.0185027850321,"Wild","","Laurasiatheria"
"3167","Manis javanica",644245,"Manidae","Pholidota",5150,1,"Yes",5.83333,"Critically Endangered","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.499542888124,2.50108589298885,"Wild","","Laurasiatheria"
"3168","Manis temminckii",263949,"Manidae","Pholidota",7179.93,1,"Yes",1.6079,"Vulnerable","food_human","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2.00121958443327,"Wild","","Laurasiatheria"
"3169","Manis tetradactyla",849634,"Manidae","Pholidota",2749.98,1,"Yes",3.9833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2.00121958443327,"Wild","","Laurasiatheria"
"3170","Manis tricuspis",1079387,"Manidae","Pholidota",2066.67,1,"Yes",3.03,"Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.20712787926079,7.68698178185979,"Wild","","Laurasiatheria"
"3171","Margaretamys beccarii",3610862,"Muridae","Rodentia",70.35,1,"Yes",1.152697,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-3.00045740230188,"Wild","","Euarchontoglires"
"3172","Margaretamys christinae",6144897,"Muridae","Rodentia",NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3173","Margaretamys elegans",3610863,"Muridae","Rodentia",121,1,"Yes",-2.8181,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,-3.00045740230188,"Wild","","Euarchontoglires"
"3174","Margaretamys parvus",3609947,"Muridae","Rodentia",32.1,1,"Yes",-2.8181,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,-3,"Wild","","Euarchontoglires"
