"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"6255","Tachyoryctes spalacinus",3608565,"Spalacidae","Rodentia",309.95,0,"Yes",0.408919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6666666666667,-0.333399165236314,"Wild","","Euarchontoglires"
"6256","Tachyoryctes splendens",756782,"Spalacidae","Rodentia",212.25,1,"Yes",-1.36457353635116,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,-1.0013724856488,"Wild","","Euarchontoglires"
"6257","Tachyoryctes storeyi",3608562,"Spalacidae","Rodentia",309.95,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6258","Tadarida aegyptiaca",263936,"Molossidae","Chiroptera",16.78,1,"Yes",-1.666667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0005433993611,-1.22501794631871,"Wild","","Laurasiatheria"
"6259","Tadarida aegyptica",7656335,"Molossidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6260","Tadarida australis",3613948,"Molossidae","Chiroptera",31.8,1,"Yes",-27.91999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.337828623455,-29.6851343618566,"Wild","","Laurasiatheria"
"6261","Tadarida brachyptera",3613915,"Molossidae","Chiroptera",NA,NA,"Yes",6.383333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1.00015234351658,"Wild","","Laurasiatheria"
"6262","Tadarida braziliensis",7656336,"Molossidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6263","Tadarida fulminans",609829,"Molossidae","Chiroptera",35.28,1,"Yes",-15.57,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1.00015234351658,"Wild","","Laurasiatheria"
"6264","Tadarida insignis",1011475,"Molossidae","Chiroptera",23.55,0,"Yes",24.3346995,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.000000000001,24.0155502468952,"Wild","","Laurasiatheria"
"6265","Tadarida kuboriensis",3613944,"Molossidae","Chiroptera",26.8,1,"Yes",-6.016667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,-7,"Wild","","Laurasiatheria"
"6266","Tadarida latouchei",3613938,"Molossidae","Chiroptera",23.55,0,"Yes",20.72,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,21,"Wild","","Laurasiatheria"
"6267","Tadarida limbatus",7656338,"Molossidae","Chiroptera",NA,NA,"Yes",1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1.00015234351658,"Wild","","Laurasiatheria"
"6268","Tadarida lobata",3613950,"Molossidae","Chiroptera",23.62,2,"Yes",-3.566667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,-17.0240410342327,"Wild","","Laurasiatheria"
"6269","Tadarida naivashae",7656339,"Molossidae","Chiroptera",NA,NA,"Yes",-0.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3333333333333,-0.333399165236314,"Wild","","Laurasiatheria"
"6270","Tadarida teniotis",190910,"Molossidae","Chiroptera",27.04,1,"Yes",43.18476,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954411569443094,41.6741687613775,"Wild","","Laurasiatheria"
"6271","Tadarida ventralis",3613914,"Molossidae","Chiroptera",23.62,2,"Yes",1.433333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3330624247024,-2.33451692538573,"Wild","","Laurasiatheria"
"6272","Taeromys arcuatus",3611070,"Muridae","Rodentia",227,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6273","Taeromys callitrichus",3611073,"Muridae","Rodentia",271,1,"Yes",1.148749,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1.00015234351658,"Wild","","Euarchontoglires"
"6274","Taeromys celebensis",3611068,"Muridae","Rodentia",323,1,"Yes",-1.183333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,-3.00045740230188,"Wild","","Euarchontoglires"
"6275","Taeromys hamatus",3611078,"Muridae","Rodentia",196,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6276","Taeromys microbullatus",3610734,"Muridae","Rodentia",225.86,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6277","Taeromys punicans",3611072,"Muridae","Rodentia",138,1,"Yes",-2.49953,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-3,"Wild","","Euarchontoglires"
"6278","Taeromys taerae",3611067,"Muridae","Rodentia",247,1,"Yes",0.7638,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-1.00015234351659,"Wild","","Euarchontoglires"
"6279","Talpa altaica",243622,"Talpidae","Soricomorpha",85,1,"Yes",53.710278,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9628855104264,53.1229840783667,"Wild","","Laurasiatheria"
"6280","Talpa aquitania",7656700,"Talpidae","Soricomorpha",NA,NA,"Yes",45.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73745960766519,45.2564386971422,"Wild","","Laurasiatheria"
"6281","Talpa caeca",353440,"Talpidae","Soricomorpha",92.5,1,"Yes",45.99797,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84977775744704,44.842839290181,"Wild","","Laurasiatheria"
"6282","Talpa chtonia",7656701,"Talpidae","Soricomorpha",NA,NA,"Yes",32.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,33,"Wild","","Laurasiatheria"
"6283","Talpa davidiana",3614243,"Talpidae","Soricomorpha",80.28,0,"Yes",36.802502,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,37,"Wild","","Laurasiatheria"
"6284","Talpa europaea",222362,"Talpidae","Soricomorpha",77,1,"Yes",52.1,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8142134959956,52.4500777804907,"Wild","","Laurasiatheria"
"6285","Talpa leptura",7656702,"Talpidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6286","Talpa macrura",7656703,"Talpidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6287","Talpa martinorum",7067980,"Talpidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6288","Talpa occidentalis",366965,"Talpidae","Soricomorpha",53.5,1,"Yes",41.369035,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.20111046122246,40.2703379524467,"Wild","","Laurasiatheria"
"6289","Talpa romana",1003027,"Talpidae","Soricomorpha",92.5,1,"Yes",41.743403,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6580133652434,41.3842261880113,"Wild","","Laurasiatheria"
"6290","Talpa stankovici",850321,"Talpidae","Soricomorpha",71.12,1,"Yes",41.03,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,41,"Wild","","Laurasiatheria"
"6291","Tamandua mexicana",273227,"Myrmecophagidae","Pilosa",4209.98,1,"Yes",10.0016535,"Least Concern","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.1535758246275,13.4635013324005,"Partially-domesticated","","Xenarthra"
"6292","Tamandua tetradactyla",1014324,"Myrmecophagidae","Pilosa",5515.06,1,"Yes",-3.133333,"Least Concern","food_human","handicrafts_jewellery","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.4854459565422,3.25233318030261,"Partially-domesticated","","Xenarthra"
"6293","Tamias alpinus",942784,"Sciuridae","Rodentia",36.55,1,"Yes",36.77402,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.999999999998,38.0272909449607,"Wild","","Euarchontoglires"
"6294","Tamias bulleri",956007,"Sciuridae","Rodentia",100,1,"Yes",23.3875,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.508366207875,25.0285251545831,"Wild","","Euarchontoglires"
"6295","Tamias canipes",428070,"Sciuridae","Rodentia",70.4,1,"Yes",32.957363,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.508600741958,33.5525051976361,"Wild","","Euarchontoglires"
"6296","Tamias durangae",956012,"Sciuridae","Rodentia",85,1,"Yes",23.778333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.000387291825,25.4913863609205,"Wild","","Euarchontoglires"
"6297","Tamias merriami",956009,"Sciuridae","Rodentia",74.8,1,"Yes",34.8277923323299,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.585300733415,35.4151886978777,"Wild","","Euarchontoglires"
"6298","Tamias obscurus",956016,"Sciuridae","Rodentia",73,1,"Yes",31.033611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.251025144194,30.6688686303173,"Wild","","Euarchontoglires"
"6299","Tamias ochrogenys",501356,"Sciuridae","Rodentia",91.7,1,"Yes",39.5411900842586,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.015195139008,41.0532041414997,"Wild","","Euarchontoglires"
"6300","Tamias palmeri",956014,"Sciuridae","Rodentia",69.4,1,"Yes",36.2722025,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.999999999998,38.0272909449608,"Wild","","Euarchontoglires"
"6301","Tamias quadrimaculatus",429967,"Sciuridae","Rodentia",85.25,1,"Yes",38.8122889307984,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.33599600447,39.3807525810492,"Wild","","Euarchontoglires"
"6302","Tamias quadrivittatus",428110,"Sciuridae","Rodentia",62.2,1,"Yes",36.3332592494221,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.192583667618,37.7873373206904,"Wild","","Euarchontoglires"
"6303","Tamias rufus",429961,"Sciuridae","Rodentia",53.6,1,"Yes",38.4740207018056,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.224292053943,38.5840443545471,"Wild","","Euarchontoglires"
"6304","Tamias senex",429973,"Sciuridae","Rodentia",89.35,1,"Yes",40.41093,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.013722737378,41.1473249188591,"Wild","","Euarchontoglires"
"6305","Tamias sibiricus",659097,"Sciuridae","Rodentia",85,1,"Yes",50.810695,"Least Concern","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.132053700048,50.6288838671705,"Partially-domesticated","","Euarchontoglires"
"6306","Tamias siskiyou",501354,"Sciuridae","Rodentia",75,1,"Yes",42.029167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.981120239375,42.2275675628751,"Wild","","Euarchontoglires"
"6307","Tamias umbrinus",429970,"Sciuridae","Rodentia",63,1,"Yes",39.029903090461,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.228213841388,39.8568282965693,"Wild","","Euarchontoglires"
"6308","Tamiasciurus douglasii",345257,"Sciuridae","Rodentia",225,1,"Yes",44.3977427065528,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.660408491423,44.5589920807663,"Wild","","Euarchontoglires"
"6309","Tamiasciurus mearnsi",345256,"Sciuridae","Rodentia",231.58,2,"Yes",31,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.338200017575,31.6866644863936,"Wild","","Euarchontoglires"
"6310","Tamiops maritimus",184622,"Sciuridae","Rodentia",70.33,1,"Yes",22.35,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,21.6795595463586,"Wild","","Euarchontoglires"
