"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"4179","Neovison macrodon","macrodon","Neovison",1,8,1,1,0,14,1,0.071,0,0,3612712,"Mustelidae","Carnivora",1150,0,"Yes",43.926316,"Extinct","handicrafts_jewellery","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,3.06069784035361,-69.0000000000005,44.0337356125884,NA,"Wild","Laurasiatheria"
"4180","Neovison vison","vison","Neovison",2668,74747,769,2498,65,96,109,1.135,1324,16,310482,"Mustelidae","Carnivora",1150,1,"Yes",54.260795,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03742649794062,2.04139268515822,3.06069784035361,-97.5809192593417,44.7052993010403,NA,"Wild","Laurasiatheria"
"4181","Nephelomys albigularis","albigularis","Nephelomys",10,186,9,9,1,26,7,0.269,5,0,509370,"Cricetidae","Rodentia",NA,NA,"Yes",4.832778,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,NA,-76.4159518018996,-1.03684670231668,NA,"Wild","Euarchontoglires"
"4182","Nephelomys auriventer","auriventer","Nephelomys",0,0,0,0,0,NA,0,0,0,0,3608332,"Cricetidae","Rodentia",NA,NA,"Yes",-3.63333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,-73.0000000000008,-13.002014968963,NA,"Wild","Euarchontoglires"
"4183","Nephelomys caracolus","caracolus","Nephelomys",2,335,2,2,0,11,2,0.182,1,0,3608289,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4184","Nephelomys childi","childi","Nephelomys",0,0,0,0,0,NA,0,0,0,0,6144786,"Cricetidae","Rodentia",NA,NA,"Yes",5.894433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,-74,6.00367070585999,NA,"Wild","Euarchontoglires"
"4185","Nephelomys devius","devius","Nephelomys",4,65,3,4,0,21,2,0.095,1,1,3608322,"Cricetidae","Rodentia",NA,NA,"Yes",9.56580445127563,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,-81.6677562899943,8.33789553971201,NA,"Wild","Euarchontoglires"
"4186","Nephelomys keaysi","keaysi","Nephelomys",1,1,1,1,0,4,1,0.25,0,1,3608301,"Cricetidae","Rodentia",NA,NA,"Yes",-13.06368,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,-69.3673770648507,-14.4398394477968,NA,"Wild","Euarchontoglires"
"4187","Nephelomys levipes","levipes","Nephelomys",2,11,2,2,0,9,1,0.111,1,1,775473,"Cricetidae","Rodentia",NA,NA,"Yes",-16.066667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,-68.7360896891573,-15.0234098432825,NA,"Wild","Euarchontoglires"
"4188","Nephelomys maculiventer","maculiventer","Nephelomys",1,1,1,1,0,2,1,0.5,0,1,6144787,"Cricetidae","Rodentia",NA,NA,"Yes",11.166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,-73.9999999999999,11.0016965084064,NA,"Wild","Euarchontoglires"
"4189","Nephelomys meridensis","meridensis","Nephelomys",3,333,3,3,0,11,2,0.182,1,1,3608311,"Cricetidae","Rodentia",NA,NA,"Yes",7.416667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,-76.9999999999998,3.00045740230185,NA,"Wild","Euarchontoglires"
"4190","Nephelomys moerex","moerex","Nephelomys",0,0,0,0,0,NA,0,0,0,0,6144788,"Cricetidae","Rodentia",NA,NA,"Yes",0.016667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,-79,1,NA,"Wild","Euarchontoglires"
"4191","Nephelomys nimbosus","nimbosus","Nephelomys",0,0,0,0,0,NA,0,0,0,0,6144789,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4192","Nephelomys pectoralis","pectoralis","Nephelomys",1,6,1,0,1,6,1,0.167,0,0,6144790,"Cricetidae","Rodentia",NA,NA,"Yes",4.45175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,-75.9984716284952,5.00535080170165,NA,"Wild","Euarchontoglires"
"4193","Nesogale dobsoni","dobsoni","Nesogale",1,19,1,1,0,57,1,0.018,1,0,7067123,"Tenrecidae","Afrosoricida",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Afrotheria"
"4194","Nesogale talazaci","talazaci","Nesogale",1,19,1,1,0,57,1,0.018,1,0,7067124,"Tenrecidae","Afrosoricida",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Afrotheria"
"4195","Nesokia bunnii","bunnii","Nesokia",3,14,3,3,0,6,1,0.167,1,1,3608734,"Muridae","Rodentia",154.48,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.18887226077134,NA,NA,NA,"Wild","Euarchontoglires"
"4196","Nesokia indica","indica","Nesokia",77,811,53,69,5,69,17,0.246,26,6,784789,"Muridae","Rodentia",178.08,1,"Yes",31.65806,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.25527250510331,2.25061514699063,68.251435192143,36.1587241081325,NA,"Wild","Euarchontoglires"
"4197","Nesolagus netscheri","netscheri","Nesolagus",4,14,2,3,0,11,2,0.182,0,1,152814,"Leporidae","Lagomorpha",1500,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,3.17609125905568,NA,NA,NA,"Wild","Euarchontoglires"
"4198","Nesolagus timminsi","timminsi","Nesolagus",3,16,3,3,0,20,2,0.1,1,1,667750,"Leporidae","Lagomorpha",1500,0,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,3.17609125905568,NA,NA,NA,"Wild","Euarchontoglires"
"4199","Nesomys audeberti","audeberti","Nesomys",3,34,3,3,0,20,2,0.1,1,0,350331,"Nesomyidae","Rodentia",212.5,1,"Yes",-21.27,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.32735893438633,46.9999999999998,-23.0333804286692,NA,"Wild","Euarchontoglires"
"4200","Nesomys lambertoni","lambertoni","Nesomys",2,6,2,2,0,18,2,0.111,0,0,3608555,"Nesomyidae","Rodentia",155,1,"Yes",-19.1317,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.19033169817029,45.0000000000001,-20.0127119247472,NA,"Wild","Euarchontoglires"
"4201","Nesomys rufus","rufus","Nesomys",27,369,22,24,1,55,9,0.164,8,3,276752,"Nesomyidae","Rodentia",162.5,1,"Yes",-21.5117,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,1,2.21085336531489,47.6603604167861,-21.3848221874763,NA,"Wild","Euarchontoglires"
"4202","Nesoromys ceramicus","ceramicus","Nesoromys",0,0,0,0,0,NA,0,0,0,0,3610221,"Muridae","Rodentia",67.38,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.8285310066451,NA,NA,NA,"Wild","Euarchontoglires"
"4203","Nesoryzomys darwini","darwini","Nesoryzomys",1,43,1,1,0,21,1,0.048,1,0,3608220,"Cricetidae","Rodentia",55.26,0,"Yes",-0.633333,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.74241088058049,-91,-1,NA,"Wild","Euarchontoglires"
"4204","Nesoryzomys fernandinae","fernandinae","Nesoryzomys",1,43,1,1,0,21,1,0.048,1,0,822525,"Cricetidae","Rodentia",32.5,1,"Yes",-0.306189,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.51188336097887,-91,-1,NA,"Wild","Euarchontoglires"
"4205","Nesoryzomys indefessus","indefessus","Nesoryzomys",1,43,1,1,0,21,1,0.048,1,0,3608219,"Cricetidae","Rodentia",55.26,0,"Yes",-0.433333,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.74241088058049,-91,-1,NA,"Wild","Euarchontoglires"
"4206","Nesoryzomys narboroughi","narboroughi","Nesoryzomys",3,53,3,2,1,21,2,0.095,1,1,611137,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4207","Nesoryzomys swarthi","swarthi","Nesoryzomys",7,177,6,6,1,21,6,0.286,5,0,445091,"Cricetidae","Rodentia",93.95,1,"Yes",-0.186833,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,1.97289678443654,-91,-1,NA,"Wild","Euarchontoglires"
"4208","Neurotrichus gibbsii","gibbsii","Neurotrichus",38,1176,26,33,1,59,17,0.288,25,0,799585,"Talpidae","Soricomorpha",8.9,1,"Yes",46.4942999990581,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.25527250510331,0.949390006644913,-122.634846117685,43.6001025203828,NA,"Wild","Laurasiatheria"
"4209","Neusticomys ferreirai","ferreirai","Neusticomys",1,3,1,1,0,4,1,0.25,0,1,7067267,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4210","Neusticomys monticolus","monticolus","Neusticomys",3,17,3,3,0,8,2,0.25,1,1,794269,"Cricetidae","Rodentia",39.5,1,"Yes",4.460385,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.59659709562646,-75.6674817139631,6.33676233294075,NA,"Wild","Euarchontoglires"
"4211","Neusticomys mussoi","mussoi","Neusticomys",1,5,1,0,0,7,1,0.143,0,0,3608200,"Cricetidae","Rodentia",40,1,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.60205999132796,NA,NA,NA,"Wild","Euarchontoglires"
"4212","Neusticomys oyapocki","oyapocki","Neusticomys",4,237,3,4,0,43,3,0.07,1,1,3608202,"Cricetidae","Rodentia",4.7,1,"Yes",2.2833,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,0.672097857935718,-56.9999999999999,3.00045740230187,NA,"Wild","Euarchontoglires"
"4213","Neusticomys peruviensis","peruviensis","Neusticomys",3,10,2,3,0,6,1,0.167,0,1,3608199,"Cricetidae","Rodentia",40,1,"Yes",-11.400665,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.60205999132796,-71,-12.0074234947157,NA,"Wild","Euarchontoglires"
"4214","Neusticomys venezuelae","venezuelae","Neusticomys",0,0,0,0,0,NA,0,0,0,0,3608201,"Cricetidae","Rodentia",47.1,1,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.6730209071289,NA,NA,NA,"Wild","Euarchontoglires"
"4215","Neusticomys vossi","vossi","Neusticomys",3,23,3,3,0,6,3,0.5,1,1,5925547,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4216","Nilopegamys plumbeus","plumbeus","Nilopegamys",0,0,0,0,0,NA,0,0,0,0,3610995,"Muridae","Rodentia",84,1,"Yes",11.033334,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.92427928606188,37,11,NA,"Wild","Euarchontoglires"
"4217","Ningaui ridei","ridei","Ningaui",7,295,4,7,0,35,6,0.171,5,0,904316,"Dasyuridae","Dasyuromorphia",8.5,1,"Yes",-26.23,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,0.929418925714293,127.826953650624,-25.6668287463488,NA,"Wild","Marsupials & monotremes"
"4218","Ningaui timealeyi","timealeyi","Ningaui",2,21,2,2,0,19,2,0.105,1,1,1031360,"Dasyuridae","Dasyuromorphia",5.7,1,"Yes",-22.0975,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,0.755874855672491,118.45104985936,-22.1049436297654,NA,"Wild","Marsupials & monotremes"
"4219","Ningaui yvonnae","yvonnae","Ningaui",9,151,5,9,0,31,7,0.226,6,0,904312,"Dasyuridae","Dasyuromorphia",7,1,"Yes",-33.353458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,0.845098040014257,140.365776404858,-33.0525943669497,NA,"Wild","Marsupials & monotremes"
"4220","Niumbaha superba","superba","Niumbaha",0,0,0,0,0,NA,0,0,0,0,3613633,"Vespertilionidae","Chiroptera",NA,NA,"Yes",4.87738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,25,1.00015234351658,NA,"Wild","Laurasiatheria"
"4221","Niviventer brahma","brahma","Niviventer",3,50,3,3,0,14,3,0.214,2,1,323397,"Muridae","Rodentia",97.3,1,"Yes",28.116667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.98811284026835,96.9999999999997,28.0185711887021,NA,"Wild","Euarchontoglires"
"4222","Niviventer cameroni","cameroni","Niviventer",0,0,0,0,0,NA,0,0,0,0,3608768,"Muridae","Rodentia",83.06,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.91939192677386,NA,NA,NA,"Wild","Euarchontoglires"
"4223","Niviventer coninga","coninga","Niviventer",11,279,7,10,0,27,8,0.296,6,1,165538,"Muridae","Rodentia",80.65,1,"Yes",23.7,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,1.90660437172498,121.000000000001,24.0155502468952,NA,"Wild","Euarchontoglires"
"4224","Niviventer cremoriventer","cremoriventer","Niviventer",9,142,8,9,0,26,5,0.192,5,1,474768,"Muridae","Rodentia",69.71,1,"Yes",3.254165,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.84329508273651,116.002239015387,4.67154417652764,NA,"Wild","Euarchontoglires"
"4225","Niviventer culturatus","culturatus","Niviventer",8,181,5,7,1,28,7,0.25,5,1,976845,"Muridae","Rodentia",81.17,1,"Yes",23.2481527589811,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,1.90939554596711,121.000000000001,24.0155502468952,NA,"Wild","Euarchontoglires"
"4226","Niviventer excelsior","excelsior","Niviventer",5,76,5,5,0,14,4,0.286,3,1,631031,"Muridae","Rodentia",102,1,"Yes",28.54,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,2.00860017176192,103,29,NA,"Wild","Euarchontoglires"
"4227","Niviventer fraternus","fraternus","Niviventer",0,0,0,0,0,NA,0,0,0,0,3608772,"Muridae","Rodentia",83.06,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.91939192677386,NA,NA,NA,"Wild","Euarchontoglires"
"4228","Niviventer fulvescens","fulvescens","Niviventer",44,548,36,42,1,38,15,0.395,19,6,751173,"Muridae","Rodentia",82.55,1,"Yes",27.549999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.20411998265592,1.91671707759881,102.208143308508,21.0194557775525,NA,"Wild","Euarchontoglires"
"4229","Niviventer hinpoon","hinpoon","Niviventer",1,17,1,1,0,8,1,0.125,1,0,3608770,"Muridae","Rodentia",61,1,"Yes",14.62,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.78532983501077,101,15,NA,"Wild","Euarchontoglires"
"4230","Niviventer huang","huang","Niviventer",0,0,0,0,0,NA,0,0,0,0,912452,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4231","Niviventer langbianus","langbianus","Niviventer",0,0,0,0,0,NA,0,0,0,0,7654778,"Muridae","Rodentia",NA,NA,"Yes",21.453889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,105,21,NA,"Wild","Euarchontoglires"
"4232","Niviventer lepturus","lepturus","Niviventer",0,0,0,0,0,NA,0,0,0,0,3608767,"Muridae","Rodentia",84.8,1,"Yes",-6.8,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.92839585225671,108,-7.00107163467528,NA,"Wild","Euarchontoglires"
"4233","Niviventer lotipes","lotipes","Niviventer",1,7,1,1,0,13,1,0.077,0,0,7067446,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4234","Niviventer niviventer","niviventer","Niviventer",30,243,23,30,0,47,8,0.17,8,3,977036,"Muridae","Rodentia",100,1,"Yes",-6.809149,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,2,85,28.0185711887021,NA,"Wild","Euarchontoglires"
"4235","Niviventer rapit","rapit","Niviventer",0,0,0,0,0,NA,0,0,0,0,109408,"Muridae","Rodentia",86.75,1,"Yes",4.52,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.93826948346291,108,-7.00107163467528,NA,"Wild","Euarchontoglires"
"4236","Niviventer tenaster","tenaster","Niviventer",2,25,2,2,0,13,2,0.154,1,0,871751,"Muridae","Rodentia",103,1,"Yes",10.61667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.01283722470517,105,11.0016965084064,NA,"Wild","Euarchontoglires"
"4237","Noctilio albiventer","albiventer","Noctilio",0,0,0,0,0,NA,0,0,0,0,7067799,"Noctilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"4238","Noctilio albiventris","albiventris","Noctilio",48,1080,40,47,1,44,18,0.409,30,5,604407,"Noctilionidae","Chiroptera",30.85,1,"Yes",4.805455,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,1.48925516836926,-70.4379934319354,4.51932026210536,NA,"Wild","Laurasiatheria"
"4239","Noctilio leporinus","leporinus","Noctilio",66,1167,44,61,2,56,22,0.393,38,4,604404,"Noctilionidae","Chiroptera",58.32,1,"Yes",13.7612025,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,1.76581751530992,-84.6952989135236,12.5484724953181,NA,"Wild","Laurasiatheria"
"4240","Nomascus annamensis","annamensis","Nomascus",6,3,5,6,0,3,1,0.333,0,1,5852672,"Hylobatidae","Primates",NA,NA,"Yes",NA,"Endangered","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4241","Nomascus gabriellae","gabriellae","Nomascus",24,379,20,23,1,38,10,0.263,10,3,847446,"Hylobatidae","Primates",6850.16,0,"Yes",11.4751835,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,3.83570071547864,107.668313951865,12.3401974084554,NA,"Wild","Euarchontoglires"
"4242","Nomascus hainanus","hainanus","Nomascus",24,167,15,21,0,116,8,0.069,6,5,492226,"Hylobatidae","Primates",6850.16,0,"Yes",19,"Critically Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,3.83570071547864,109,19,NA,"Wild","Euarchontoglires"
"4243","Nomascus leucogenys","leucogenys","Nomascus",91,1951,58,88,0,46,20,0.435,35,6,1029454,"Hylobatidae","Primates",7320,1,"Yes",20.366659,"Critically Endangered","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30102999566398,1.32221929473392,3.86451108105839,102.991529572546,20.3709766967406,NA,"Wild","Euarchontoglires"
"4244","Nomascus nasutus","nasutus","Nomascus",27,311,17,26,1,11,11,1,11,3,440190,"Hylobatidae","Primates",NA,NA,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515822,1.07918124604762,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4245","Nomascus siki","siki","Nomascus",12,151,9,12,0,12,6,0.5,6,2,995043,"Hylobatidae","Primates",6850.16,0,"Yes",NA,"Critically Endangered","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,3.83570071547864,NA,NA,NA,"Wild","Euarchontoglires"
"4246","Notamacropus agilis","agilis","Notamacropus",62,1060,37,0,0,45,18,0.4,35,3,42493,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"4247","Notamacropus dorsalis","dorsalis","Notamacropus",44,615,24,42,2,42,16,0.381,24,3,939162,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1.23044892137827,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"4248","Notamacropus irma","irma","Notamacropus",16,149,12,15,1,24,8,0.333,7,1,367278,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"4249","Notamacropus parryi","parryi","Notamacropus",29,487,20,27,2,186,14,0.075,19,0,372371,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,1.17609125905568,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"4250","Notiomys edwardsii","edwardsii","Notiomys",5,92,5,5,0,37,3,0.081,3,0,913813,"Cricetidae","Rodentia",21.3,1,"Yes",-41.02306,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.32837960343874,-70.9999999999993,-42.0314537704679,NA,"Wild","Euarchontoglires"
"4251","Notiosorex cockrumi","cockrumi","Notiosorex",1,7,1,1,0,11,1,0.091,0,0,495634,"Soricidae","Soricomorpha",4.82,0,"Yes",31.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.68304703823885,-109.999999999999,31.0052443078994,NA,"Wild","Laurasiatheria"
"4252","Notiosorex crawfordi","crawfordi","Notiosorex",27,231,18,24,2,41,8,0.195,5,2,638163,"Soricidae","Soricomorpha",4.39,1,"Yes",32.93119,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,0.642464520242121,-107.626585512886,31.2068570708605,NA,"Wild","Laurasiatheria"
"4253","Notiosorex evotis","evotis","Notiosorex",0,0,0,0,0,NA,0,0,0,0,3614371,"Soricidae","Soricomorpha",5.28,1,"Yes",23.240556,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,0.722633922533812,-105.047072883933,22.4747269465156,NA,"Wild","Laurasiatheria"
