"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"53","Aegialomys galapagoensis","galapagoensis","Aegialomys",4,17,4,4,0,10,2,0.2,1,1,509361,"Cricetidae","Rodentia",NA,NA,"Yes",-0.816667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,-91,-1,NA,"Wild","Euarchontoglires"
"54","Aegialomys xanthaeolus","xanthaeolus","Aegialomys",4,70,4,4,0,15,3,0.2,3,2,282364,"Cricetidae","Rodentia",NA,NA,"Yes",-6.833333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,NA,-78.6566977490875,-6.37717362330414,NA,"Wild","Euarchontoglires"
"55","Aelurodon francisci","francisci","Aelurodon",0,0,0,0,0,NA,0,0,0,0,7655927,"Canidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"56","Aeorestes egregius","egregius","Aeorestes",3,13,3,3,0,9,2,0.222,0,1,297963,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,NA,"Wild","Laurasiatheria"
"57","Aeorestes semotus","semotus","Aeorestes",1,13,1,1,0,4,1,0.25,1,1,5839506,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Laurasiatheria"
"58","Aeorestes villosissimus","villosissimus","Aeorestes",0,0,0,0,0,NA,0,0,0,0,5839507,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"59","Aepeomys lugens","lugens","Aepeomys",1,3,1,1,0,20,1,0.05,0,0,783823,"Cricetidae","Rodentia",37,1,"Yes",8.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.56820172406699,-71,9,NA,"Wild","Euarchontoglires"
"60","Aepeomys reigi","reigi","Aepeomys",1,19,1,1,0,6,1,0.167,1,0,3608226,"Cricetidae","Rodentia",37,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.56820172406699,NA,NA,NA,"Wild","Euarchontoglires"
"61","Aepyprymnus rufescens","rufescens","Aepyprymnus",40,1226,28,38,1,46,15,0.326,25,3,34417,"Potoroidae","Diprotodontia",3250,1,"Yes",-28.7167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.20411998265592,3.51188336097887,148.607502862424,-25.8939807544788,NA,"Wild","Marsupials & monotremes"
"62","Aeretes melanopterus","melanopterus","Aeretes",1,6,1,1,0,14,1,0.071,0,0,675191,"Sciuridae","Rodentia",753.23,2,"Yes",26.430682,NA,"food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.87692760897473,106.999999999999,23.0037047626266,NA,"Wild","Euarchontoglires"
"63","Aeromys tephromelas","tephromelas","Aeromys",1,3,1,1,0,50,1,0.02,0,0,675194,"Sciuridae","Rodentia",1075,1,"Yes",3.505,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,3.03140846425162,101,3.00045740230187,NA,"Wild","Euarchontoglires"
"64","Aeromys thomasi","thomasi","Aeromys",1,6,1,1,0,15,1,0.067,0,0,3609018,"Sciuridae","Rodentia",1435,1,"Yes",5.343469,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,3.15685190107001,117.665850621697,5.66996720456175,NA,"Wild","Euarchontoglires"
"65","Aethalops aequalis","aequalis","Aethalops",1,10,1,1,0,28,1,0.036,1,0,308607,"Pteropodidae","Chiroptera",15,0,"Yes",4.038422,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.17609125905568,115,5,NA,"Wild","Laurasiatheria"
"66","Aethalops alecto","alecto","Aethalops",4,63,3,4,0,32,3,0.094,3,0,37731,"Pteropodidae","Chiroptera",15,1,"Yes",2.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.17609125905568,101.667209035396,4.33563706315321,NA,"Wild","Laurasiatheria"
"67","Aethomys bocagei","bocagei","Aethomys",1,7,1,1,0,16,1,0.062,0,0,3608715,"Muridae","Rodentia",79.89,2,"Yes",-9.875,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.9024924211586,14.2724097175001,-9.03164365549672,NA,"Wild","Euarchontoglires"
"68","Aethomys chrysophilus","chrysophilus","Aethomys",40,567,22,38,1,43,15,0.349,25,2,911457,"Muridae","Rodentia",74.85,1,"Yes",-22.4167,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.20411998265592,1.87419180467907,30.8902927277363,-20.585708175387,NA,"Wild","Euarchontoglires"
"69","Aethomys hindei","hindei","Aethomys",4,31,4,4,0,45,3,0.067,1,1,3608711,"Muridae","Rodentia",103.5,1,"Yes",3.1333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,2.01494034979294,32.9984745487729,1.50292101514208,NA,"Wild","Euarchontoglires"
"70","Aethomys ineptus","ineptus","Aethomys",16,248,9,15,1,23,10,0.435,10,2,411031,"Muridae","Rodentia",133.16,1,"Yes",-23.9802165,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,2.12437378648463,30.7224617267428,-26.5165078426028,NA,"Wild","Euarchontoglires"
"71","Aethomys kaiseri","kaiseri","Aethomys",9,158,8,9,0,59,7,0.119,6,0,649436,"Muridae","Rodentia",90,1,"Yes",-1.5667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,1.95424250943932,33.7358739997436,-1.42471256065716,NA,"Wild","Euarchontoglires"
"72","Aethomys nyikae","nyikae","Aethomys",3,50,3,3,0,55,3,0.055,2,0,3608710,"Muridae","Rodentia",77.01,1,"Yes",-10.72,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.88654712339111,35,-15.0210697853835,NA,"Wild","Euarchontoglires"
"73","Aethomys silindensis","silindensis","Aethomys",4,52,4,4,0,23,4,0.174,2,1,3608709,"Muridae","Rodentia",82.76,2,"Yes",-19.23,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.9178204819937,33,-19,NA,"Wild","Euarchontoglires"
