species,median_lat
Balaenoptera omurai,-11.509746
Balaenoptera physalus,42.8662
Balaenoptera siberi,-15.52
Balaenula astensis,44.957779
Balantiopteryx io,17.241667
Balantiopteryx plicata,18.649444
Balionycteris maculata,2.85
Bandicota bengalensis,22.58333
Bandicota indica,23.226841
Bandicota savilei,14.333333
Barbastella barbastellus,46.94644
Barbastella darjelingensis,28.33
Barbastella leucomelas,30.45
Bassaricyon alleni,-3.333333
Bassariscus astutus,25.833333
Bassariscus sumichrasti,16.2625
Bathyergus janetta,-30.37
Bathyergus suillus,-33.952058
Batomys granti,17.022131
Batomys hamiguitan,6.7175
Batomys russatus,10.34
Batomys salomonseni,8.6959
Batomys uragon,13.6667
Bdeogale jacksoni,0.203869
Bdeogale nigripes,1.15
Beamys hindei,-6.90547
Beamys major,-9.661321000000001
Beatragus hunteri,-0.396866
Belomys pearsonii,25.66667
Berardius arnuxii,-51.273610000000005
Berardius bairdii,35.6
Berardius minimus,44.10995
Berylmys berdmorei,17.5611
Berylmys bowersi,21.683331
Berylmys mackenziei,25.466669
Berylmys manipulus,25.299999
Bettongia gaimardi,-41.9242395
Bettongia lesueur,-33.180346
Bettongia tropica,-17.025812
Bibimys labiosus,-23.209722
Bibimys torresi,-34.173237
Bison antiquus,29.35
Bison schoetensacki,52.4192
Blanfordimys afghanus,34.549999
Blarina brevicauda,42.625835
Blarina carolinensis,34.53903
Blarina hylophaga,39.04857691362127
Blarina peninsulae,27.97843
Blarinella griselda,25.30788
Blarinella quadraticauda,30.333334
Blarinella wardi,26
Blarinomys breviceps,-20.603611
Blastocerus dichotomus,-28.02456
Borophagus diversidens,29.84
Borophagus littoralis,35.299999
Borophagus parvus,34.700001
Borophagus secundus,35
Bos grunniens,48.13
Bos sauveli,12.566335653016015
Bos taurus,-15.1004165
Boselaphus tragocamelus,26.825257
Brachiones przewalskii,38.25
Brachylagus idahoensis,41.96066752616405
Brachyphylla cavernarum,18.057893
Brachyrhynchocyon sesnoni,43.5
Brachytarsomys albicauda,-19.296434
Brachytarsomys villosa,-14.7741665
Brachyteles arachnoides,-20.7667
Brachyteles hypoxanthus,-20.278311
Brachyuromys betsileoensis,-21.22
Brachyuromys ramirohitra,-21.2233335
Bradypus pygmaeus,9.05264
Bradypus torquatus,-19.929431
Bradypus tridactylus,5.028824999999999
Brandtocetus chongulek,45.175001
Brotomys contractus,18.72
Brotomys voratus,18.32
Brucepattersonius guarani,-27.209546
Brucepattersonius igniventris,-24.333333
Brucepattersonius iheringi,-26.98333
Brucepattersonius misionensis,-27.080132499999998
Brucepattersonius paradisus,-26.4536245
Brucepattersonius soricinus,-23.93405957553353
Bubalus depressicornis,0.316667
Bubalus mindorensis,12.9787185
Bubalus quarlesi,-1.938559
Bullimus bagobus,8.217
Bullimus gamay,9.1832
Bullimus luzonicus,16.25527
Bunolagus monticularis,-29.3613295
Bunomys andrewsi,-2.79281
Bunomys chrysocomus,-1.183333
Bunomys coelestis,-5.304112
Bunomys fratrorum,1.10607
Bunomys karokophilus,-1.183333
Bunomys penitus,-3.40755
Bunomys prolatus,-1.212911
Burramys parvus,-36.420355
Cabassous centralis,6.02
Cabassous chacoensis,-27.0958635
Cabassous tatouay,-25.709615
Cabassous unicinctus,0.48547
Cacajao melanocephalus,1.497128
