"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"115","Akodon_surdus","surdus","Akodon",0,0,0,0,0,NA,0,0,0,0
"116","Akodon_sylvanus","sylvanus","Akodon",0,0,0,0,0,NA,0,0,0,0
"117","Akodon_tartareus","tartareus","Akodon",0,0,0,0,0,NA,0,0,0,0
"118","Akodon_toba","toba","Akodon",1,2,1,1,0,2,1,0.5,0,1
"119","Akodon_torques","torques","Akodon",0,0,0,0,0,NA,0,0,0,0
"120","Akodon_urichi","urichi","Akodon",0,0,0,0,0,NA,0,0,0,0
"121","Akodon_varius","varius","Akodon",0,0,0,0,0,NA,0,0,0,0
"122","Akodon_viridescens","viridescens","Akodon",0,0,0,0,0,NA,0,0,0,0
"123","Alcelaphus_bakeri","bakeri","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"124","Alcelaphus_caama","caama","Alcelaphus",1,9,1,1,0,11,1,0.091,0,0
"125","Alcelaphus_howardi","howardi","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"126","Alcelaphus_kattwinkeli","kattwinkeli","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"127","Alcelaphus_lichtensteini","lichtensteini","Alcelaphus",1,4,1,1,0,23,1,0.043,0,0
"128","Alcelaphus_tora","tora","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"129","Alces_alces","alces","Alces",164,4623,89,147,10,35,36,1.029,103,10
"130","Alces_americanus","americanus","Alces",6,63,6,5,1,19,5,0.263,3,2
"131","Alces_bedfordiae","bedfordiae","Alces",0,0,0,0,0,NA,0,0,0,0
"132","Alexandromys_mongolicus","mongolicus","Alexandromys",0,0,0,0,0,NA,0,0,0,0
"133","Alexandromys_mujanensis","mujanensis","Alexandromys",0,0,0,0,0,NA,0,0,0,0
"134","Alionycteris_paucidentata","paucidentata","Alionycteris",0,0,0,0,0,NA,0,0,0,0
"135","Allactaga_balikunica","balikunica","Allactaga",0,0,0,0,0,NA,0,0,0,0
"136","Allactaga_bullata","bullata","Allactaga",0,0,0,0,0,NA,0,0,0,0
"137","Allactaga_euphratica","euphratica","Allactaga",1,2,1,0,1,3,1,0.333,0,1
"138","Allactaga_firouzi","firouzi","Allactaga",1,9,1,1,0,12,1,0.083,0,0
"139","Allactaga_hotsoni","hotsoni","Allactaga",0,0,0,0,0,NA,0,0,0,0
"140","Allactaga_major","major","Allactaga",0,0,0,0,0,NA,0,0,0,0
"141","Allactaga_severtzovi","severtzovi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"142","Allactaga_sibirica","sibirica","Allactaga",1,1,1,1,0,5,1,0.2,0,1
"143","Allactaga_toussi","toussi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"144","Allactaga_vinogradovi","vinogradovi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"145","Allactaga_williamsi","williamsi","Allactaga",1,5,1,1,0,11,1,0.091,0,0
"146","Allactodipus_bobrinskii","bobrinskii","Allactodipus",0,0,0,0,0,NA,0,0,0,0
"147","Allenopithecus_nigroviridis","nigroviridis","Allenopithecus",2,67,2,2,0,14,2,0.143,2,0
"148","Allocebus_trichotis","trichotis","Allocebus",7,112,3,7,0,30,6,0.2,5,2
"149","Allochrocebus_lhoesti","lhoesti","Allochrocebus",4,41,4,3,1,15,3,0.2,2,1
"150","Allochrocebus_solatus","solatus","Allochrocebus",5,31,4,4,1,22,4,0.182,1,1
"151","Allocricetulus_curtatus","curtatus","Allocricetulus",1,4,1,1,0,8,1,0.125,0,0
"152","Allocricetulus_eversmanni","eversmanni","Allocricetulus",2,11,2,2,0,8,2,0.25,0,1
"153","Allocricetulus_jezreelicus","jezreelicus","Allocricetulus",0,0,0,0,0,NA,0,0,0,0
"154","Alopex_praeglacialis","praeglacialis","Alopex",0,0,0,0,0,NA,0,0,0,0
"155","Alouatta_arctoidea","arctoidea","Alouatta",2,67,1,2,0,26,2,0.077,2,0
"156","Alouatta_caraya","caraya","Alouatta",73,1414,38,70,1,32,20,0.625,40,4
"157","Alouatta_discolor","discolor","Alouatta",2,23,2,1,1,12,2,0.167,1,1
"158","Alouatta_juara","juara","Alouatta",1,2,1,1,0,2,1,0.5,0,1
"159","Alouatta_pigra","pigra","Alouatta",45,934,22,42,1,37,18,0.486,27,3
"160","Alouatta_sara","sara","Alouatta",3,29,3,3,0,20,1,0.05,1,0
"161","Alouatta_stramineus","stramineus","Alouatta",0,0,0,0,0,NA,0,0,0,0
"162","Alouatta_ululata","ululata","Alouatta",2,5,2,2,0,3,2,0.667,0,2
"163","Alouatta_villosa","villosa","Alouatta",0,0,0,0,0,NA,0,0,0,0
"164","Alticola_albicaudus","albicaudus","Alticola",0,0,0,0,0,NA,0,0,0,0
"165","Alticola_argentatus","argentatus","Alticola",0,0,0,0,0,NA,0,0,0,0
"166","Alticola_barakshin","barakshin","Alticola",0,0,0,0,0,NA,0,0,0,0
"167","Alticola_lemminus","lemminus","Alticola",0,0,0,0,0,NA,0,0,0,0
"168","Alticola_montosa","montosa","Alticola",0,0,0,0,0,NA,0,0,0,0
"169","Alticola_olchonensis","olchonensis","Alticola",0,0,0,0,0,NA,0,0,0,0
"170","Alticola_roylei","roylei","Alticola",0,0,0,0,0,NA,0,0,0,0
"171","Alticola_stoliczkanus","stoliczkanus","Alticola",1,67,1,1,0,15,1,0.067,1,0
"172","Alticola_stracheyi","stracheyi","Alticola",0,0,0,0,0,NA,0,0,0,0
"173","Alticola_tuvinicus","tuvinicus","Alticola",0,0,0,0,0,NA,0,0,0,0
"174","Amblonyx_concolor","concolor","Amblonyx",0,0,0,0,0,NA,0,0,0,0
"175","Amblysomus_iris","iris","Amblysomus",0,0,0,0,0,NA,0,0,0,0
"176","Amblysomus_marleyi","marleyi","Amblysomus",1,6,1,1,0,6,1,0.167,0,0
"177","Amblysomus_robustus","robustus","Amblysomus",1,6,1,1,0,6,1,0.167,0,0
"178","Amblysomus_septentrionalis","septentrionalis","Amblysomus",1,6,1,1,0,6,1,0.167,0,0
"179","Ametrida_centurio","centurio","Ametrida",0,0,0,0,0,NA,0,0,0,0
"180","Ammodillus_imbellis","imbellis","Ammodillus",0,0,0,0,0,NA,0,0,0,0
"181","Ammodorcas_clarkei","clarkei","Ammodorcas",1,86,1,1,0,25,1,0.04,1,0
"182","Ammospermophilus_harrisii","harrisii","Ammospermophilus",0,0,0,0,0,NA,0,0,0,0
"183","Ammospermophilus_insularis","insularis","Ammospermophilus",0,0,0,0,0,NA,0,0,0,0
"184","Ammospermophilus_interpres","interpres","Ammospermophilus",0,0,0,0,0,NA,0,0,0,0
"185","Ammospermophilus_leucurus","leucurus","Ammospermophilus",3,211,3,3,0,48,3,0.062,2,0
"186","Ammospermophilus_nelsoni","nelsoni","Ammospermophilus",2,53,2,1,1,20,2,0.1,1,0
"187","Ammotragus_europaeus","europaeus","Ammotragus",0,0,0,0,0,NA,0,0,0,0
"188","Ammotragus_lervia","lervia","Ammotragus",28,316,23,26,1,29,11,0.379,12,4
"189","Amorphochilus_schnablii","schnablii","Amorphochilus",0,0,0,0,0,NA,0,0,0,0
"190","Amphechinus_rusingensis","rusingensis","Amphechinus",0,0,0,0,0,NA,0,0,0,0
"191","Amphinectomys_savamis","savamis","Amphinectomys",1,9,1,1,0,6,1,0.167,0,0
"192","Anathana_ellioti","ellioti","Anathana",0,0,0,0,0,NA,0,0,0,0
"193","Anathana_pallida","pallida","Anathana",0,0,0,0,0,NA,0,0,0,0
"194","Anathana_wroughtoni","wroughtoni","Anathana",0,0,0,0,0,NA,0,0,0,0
"195","Andalgalomys_olrogi","olrogi","Andalgalomys",0,0,0,0,0,NA,0,0,0,0
"196","Andalgalomys_roigi","roigi","Andalgalomys",0,0,0,0,0,NA,0,0,0,0
"197","Andinomys_edax","edax","Andinomys",0,0,0,0,0,NA,0,0,0,0
"198","Anisomys_imitator","imitator","Anisomys",0,0,0,0,0,NA,0,0,0,0
"199","Anomalurus_beecrofti","beecrofti","Anomalurus",0,0,0,0,0,NA,0,0,0,0
"200","Anomalurus_derbianus","derbianus","Anomalurus",0,0,0,0,0,NA,0,0,0,0
"201","Anomalurus_pelii","pelii","Anomalurus",0,0,0,0,0,NA,0,0,0,0
"202","Anomalurus_pusillus","pusillus","Anomalurus",0,0,0,0,0,NA,0,0,0,0
"203","Anonymomys_mindorensis","mindorensis","Anonymomys",0,0,0,0,0,NA,0,0,0,0
"204","Anotomys_leander","leander","Anotomys",1,1,1,1,0,4,1,0.25,0,1
"205","Anoura_aequatoris","aequatoris","Anoura",2,8,2,2,0,11,2,0.182,0,1
"206","Anoura_cadenai","cadenai","Anoura",0,0,0,0,0,NA,0,0,0,0
"207","Anoura_carishina","carishina","Anoura",0,0,0,0,0,NA,0,0,0,0
"208","Anoura_caudifer","caudifer","Anoura",3,13,3,3,0,14,2,0.143,1,1
"209","Anoura_cultrata","cultrata","Anoura",2,11,2,2,0,8,1,0.125,1,0
"210","Anoura_fistulata","fistulata","Anoura",1,124,1,1,0,12,1,0.083,1,0
"211","Anoura_geoffroyi","geoffroyi","Anoura",4,44,4,4,0,18,4,0.222,2,0
"212","Anoura_latidens","latidens","Anoura",1,117,1,1,0,20,1,0.05,1,0
"213","Anoura_luismanueli","luismanueli","Anoura",0,0,0,0,0,NA,0,0,0,0
"214","Anoura_peruana","peruana","Anoura",0,0,0,0,0,NA,0,0,0,0
"215","Anourosorex_assamensis","assamensis","Anourosorex",0,0,0,0,0,NA,0,0,0,0
"216","Anourosorex_schmidi","schmidi","Anourosorex",0,0,0,0,0,NA,0,0,0,0
"217","Anourosorex_squamipes","squamipes","Anourosorex",3,23,2,3,0,5,2,0.4,2,0
"218","Anourosorex_yamashinai","yamashinai","Anourosorex",0,0,0,0,0,NA,0,0,0,0
"219","Antechinomys_laniger","laniger","Antechinomys",1,6,1,1,0,7,1,0.143,0,0
"220","Antechinus_adustus","adustus","Antechinus",0,0,0,0,0,NA,0,0,0,0
"221","Antechinus_agilis","agilis","Antechinus",8,178,5,8,0,19,6,0.316,6,0
"222","Antechinus_argentus","argentus","Antechinus",0,0,0,0,0,NA,0,0,0,0
"223","Antechinus_arktos","arktos","Antechinus",3,9,2,3,0,4,2,0.5,0,2
"224","Antechinus_bellus","bellus","Antechinus",3,204,3,3,0,22,3,0.136,2,0
