"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"3789","Mus emesi",403204,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","emesi","Mus",1,4,1,1,0,32,1,0.031,0,0,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"3790","Mus famulus",1027340,"Muridae","Rodentia",22.88,1,"Yes",11.43333,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,11,"Wild","","Euarchontoglires","famulus","Mus",8,317,8,8,0,20,7,0.35,7,1,0.903089986991944,1.35945602012099,3,0,3,0,0,0,0,0
"3791","Mus fernandoni",3608886,"Muridae","Rodentia",21.82,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","fernandoni","Mus",0,0,0,0,0,NA,0,0,0,0,0,1.33885474625232,3,0,3,0,0,0,0,0
"3792","Mus fragilicauda",1010350,"Muridae","Rodentia",13.76,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","fragilicauda","Mus",4,141,4,4,0,18,3,0.167,2,2,0.602059991327962,1.13861843389949,1,0,3,0,0,0,0,0
"3793","Mus goundae",3608881,"Muridae","Rodentia",8.96,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","goundae","Mus",2,26,2,2,0,51,2,0.039,1,0,0.477121254719662,0.952308009662125,NA,0,3,0,0,0,0,0
"3794","Mus haussa",1000702,"Muridae","Rodentia",9.18,2,"Yes",9.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36038120562157,11.0341289958818,"Wild","","Euarchontoglires","haussa","Mus",1,9,1,1,0,7,1,0.143,0,0,0.301029995663981,0.962842681201242,1,0,3,0,0,1,0.301029995663981,0
"3795","Mus indutus",1000695,"Muridae","Rodentia",6.15,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","indutus","Mus",6,60,6,6,0,31,3,0.097,2,0,0.602059991327962,0.788875115775417,1,0,3,0,0,2,0.477121254719662,0
"3796","Mus leptosoma",7654770,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","leptosoma","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3797","Mus mahomet",5857435,"Muridae","Rodentia",10,1,"Yes",7.300278,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,9.35545626778538,"Wild","","Euarchontoglires","mahomet","Mus",13,189,10,13,0,45,6,0.133,3,1,0.845098040014257,1,1,0,3,0,0,1,0.301029995663981,0
"3798","Mus mattheyi",759679,"Muridae","Rodentia",9.52,2,"Yes",10.06,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.1358348521173,12.1628813590676,"Wild","","Euarchontoglires","mattheyi","Mus",7,90,6,6,0,52,5,0.096,4,1,0.778151250383644,0.978636948384474,1,0,3,0,0,1,0.301029995663981,0
"3799","Mus mayori",3608874,"Muridae","Rodentia",20.78,2,"Yes",7.3,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,7,"Wild","sibling_higher","Euarchontoglires","mayori","Mus",3,81,3,2,1,16,2,0.125,2,0,0.477121254719662,1.31764554322116,2,0,3,0,0,0,0,0
"3800","Mus microdontoides",7654771,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","microdontoides","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3801","Mus minutoides",845966,"Muridae","Rodentia",7.01,1,"Yes",-0.603026,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2235059303321,-26.7743842019661,"Wild","","Euarchontoglires","minutoides","Mus",101,1601,68,96,0,58,23,0.397,57,5,1.38021124171161,0.845718017966659,1,0,3,1289,3.11058971029925,5,0.778151250383644,1
"3802","Mus musculoides",996648,"Muridae","Rodentia",6,1,"Yes",3.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7647900575997,-2.14014854315684,"Wild","","Euarchontoglires","musculoides","Mus",12,146,10,11,0,45,8,0.178,6,2,0.954242509439325,0.778151250383644,1,0,3,0,0,2,0.477121254719662,0
"3803","Mus neavei",3608901,"Muridae","Rodentia",9.53,2,"Yes",-6.5,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0000000000001,-11.0016965084064,"Wild","","Euarchontoglires","neavei","Mus",2,9,2,2,0,19,1,0.053,0,0,0.301029995663981,0.979092900638326,NA,0,3,0,0,1,0.301029995663981,0
"3804","Mus nigrita",7654772,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","nigrita","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3805","Mus orangiae",3608904,"Muridae","Rodentia",9.5,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","orangiae","Mus",0,0,0,0,0,NA,0,0,0,0,0,0.977723605288848,NA,0,3,0,0,0,0,0
"3806","Mus oubanguii",3608899,"Muridae","Rodentia",9.16,2,"Yes",3.883,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4.0024421496998,"Wild","sibling_higher","Euarchontoglires","oubanguii","Mus",3,41,2,3,0,51,3,0.059,2,0,0.602059991327962,0.96189547366785,NA,0,3,0,0,0,0,0
"3807","Mus pahari",542493,"Muridae","Rodentia",25.73,1,"Yes",22.35,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.329887423121,24.3476247750978,"Wild","","Euarchontoglires","pahari","Mus",44,600,31,41,2,39,15,0.385,18,3,1.20411998265592,1.41043978621035,1,0,3,304,2.48429983934679,5,0.778151250383644,1
"3808","Mus paulina",7654773,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","paulina","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3809","Mus phillipsi",3608880,"Muridae","Rodentia",12.3,1,"Yes",14.08333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,15,"Wild","sibling_higher","Euarchontoglires","phillipsi","Mus",1,9,1,1,0,24,1,0.042,0,0,0.301029995663981,1.0899051114394,1,0,3,0,0,0,0,0
"3810","Mus platythrix",845970,"Muridae","Rodentia",25.2,1,"Yes",12.3,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.0000000000002,12.0074234947157,"Wild","","Euarchontoglires","platythrix","Mus",38,271,31,37,0,49,9,0.184,9,0,1,1.40140054078154,1,0,3,0,0,1,0.301029995663981,0
"3811","Mus proconodon",7654774,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","proconodon","Mus",1,3,1,1,0,9,1,0.111,0,0,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"3812","Mus saxicola",542525,"Muridae","Rodentia",21.4,1,"Yes",28.15,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.0000000000007,11.0016965084065,"Wild","","Euarchontoglires","saxicola","Mus",90,1456,65,87,0,43,22,0.512,46,3,1.36172783601759,1.33041377334919,1,0,3,0,0,5,0.778151250383644,0
"3813","Mus setulosus",845980,"Muridae","Rodentia",9.4,1,"Yes",5.77,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.07830005392482,8.10135842959038,"Wild","","Euarchontoglires","setulosus","Mus",9,280,8,8,0,41,8,0.195,7,1,0.954242509439325,0.973127853599699,1,0,3,0,0,1,0.301029995663981,0
"3814","Mus setzeri",3608890,"Muridae","Rodentia",6.65,1,"Yes",-18.8,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6638364112055,-19.6782725515747,"Wild","sibling_higher","Euarchontoglires","setzeri","Mus",1,8,1,1,0,3,1,0.333,0,1,0.301029995663981,0.822821645303105,1,0,3,0,0,0,0,0
"3815","Mus shortridgei",887682,"Muridae","Rodentia",34.6,1,"Yes",18.280115,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.999999999999,15.0023386074296,"Wild","","Euarchontoglires","shortridgei","Mus",1,1,1,0,1,17,1,0.059,0,0,0.301029995663981,1.53907609879278,1,0,3,0,0,1,0.301029995663981,0
"3816","Mus sorella",844274,"Muridae","Rodentia",9.5,2,"Yes",3.9167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,-10.0061581575148,"Wild","","Euarchontoglires","sorella","Mus",1,9,1,1,0,7,1,0.143,0,0,0.301029995663981,0.977723605288848,1,0,3,0,0,1,0.301029995663981,0
"3817","Mus spicilegus",845976,"Muridae","Rodentia",14,1,"Yes",45.0433885,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7719629986962,47.8377173084806,"Wild","","Euarchontoglires","spicilegus","Mus",164,2405,93,157,2,43,27,0.628,77,4,1.44715803134222,1.14612803567824,1,0,3,0,0,4,0.698970004336019,0
"3818","Mus spretus",542521,"Muridae","Rodentia",12.8,1,"Yes",42.24,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15769170783522,39.393011077712,"Wild","","Euarchontoglires","spretus","Mus",692,23242,251,667,11,43,71,1.651,480,10,1.85733249643127,1.10720996964787,1,0,3,676,2.83058866868514,33,1.53147891704226,1
"3819","Mus tenellus",844277,"Muridae","Rodentia",9.48,2,"Yes",1.23861,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,-3.00045740230187,"Wild","","Euarchontoglires","tenellus","Mus",4,20,3,3,0,49,3,0.061,1,0,0.602059991327962,0.976808337338066,1,0,3,0,0,0,0,0
"3820","Mus terraereginae",6144910,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","terraereginae","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3821","Mus terricolor",348560,"Muridae","Rodentia",9,1,"Yes",18.326163,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9999999999992,19.0030052338492,"Wild","","Euarchontoglires","terricolor","Mus",103,2070,55,100,2,46,24,0.522,50,4,1.39794000867204,0.954242509439325,1,0,3,0,0,5,0.778151250383644,0
"3822","Mus tomentosus",7654775,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","tomentosus","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3823","Mus triton",289304,"Muridae","Rodentia",13.55,1,"Yes",-5.1107,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0977772965774,-5.40115185280018,"Wild","","Euarchontoglires","triton","Mus",15,274,11,15,0,56,9,0.161,9,2,1,1.13193929521042,1,0,3,0,0,2,0.477121254719662,0
"3824","Mus vulcani",3608885,"Muridae","Rodentia",20.2,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","vulcani","Mus",0,0,0,0,0,NA,0,0,0,0,0,1.30535136944662,1,0,3,0,0,0,0,0
"3825","Mus vulpinus",7654776,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires","vulpinus","Mus",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3826","Muscardinus avellanarius",664079,"Gliridae","Rodentia",27.5,1,"Yes",51.26913,"Least Concern","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3231576912182,50.6021225538282,"Wild","","Euarchontoglires","avellanarius","Muscardinus",208,2877,103,190,7,70,27,0.386,93,8,1.44715803134222,1.43933269383026,1,1,3,723,2.85973856619715,16,1.23044892137827,1
"3827","Musonycteris harrisoni",658353,"Phyllostomidae","Chiroptera",13.37,2,"Yes",19.1353110596778,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.895395677453,18.8002673452586,"Wild","","Laurasiatheria","harrisoni","Musonycteris",18,319,15,17,0,30,9,0.3,8,1,1,1.12613140726198,2,0,3,0,0,2,0.477121254719662,0
"3828","Musseromys anacuao",6144936,"Muridae","Rodentia",NA,NA,"Yes",16.25527,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires","anacuao","Musseromys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3829","Musseromys beneficus",6144937,"Muridae","Rodentia",NA,NA,"Yes",16.588161,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires","beneficus","Musseromys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3830","Musseromys gulantang",6144938,"Muridae","Rodentia",NA,NA,"Yes",14.05181,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,15,"Wild","","Euarchontoglires","gulantang","Musseromys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3831","Musseromys inopinatus",6144939,"Muridae","Rodentia",NA,NA,"Yes",17.02595,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires","inopinatus","Musseromys",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3832","Mustela affinis",7656030,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","affinis","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3833","Mustela africana",275125,"Mustelidae","Carnivora",536.99,1,"Yes",-2.25,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.9999999999998,-9.00138234307658,"Wild","","Laurasiatheria","africana","Mustela",5,147,5,4,0,16,3,0.188,2,1,0.602059991327962,2.72996619820373,1,1,3,0,0,1,0.301029995663981,0
"3834","Mustela altaica",69264,"Mustelidae","Carnivora",171,1,"Yes",38,"Near Threatened","food_human","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.328501918546,32.3533496159451,"Wild","","Laurasiatheria","altaica","Mustela",14,262,10,14,0,40,5,0.125,4,0,0.778151250383644,2.23299611039215,NA,1,3,441,2.64542226934909,2,0.477121254719662,1
"3835","Mustela aureoventris",7656031,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","aureoventris","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3836","Mustela cicognanii",7656032,"Mustelidae","Carnivora",NA,NA,"Yes",42.438103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.9999999999992,43.0081393014265,"Wild","","Laurasiatheria","cicognanii","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3837","Mustela erminea",681184,"Mustelidae","Carnivora",119.38,1,"Yes",52.59196,"Least Concern","handicrafts_jewellery","other","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.01494190535,55.7134737000681,"Partially-domesticated","","Laurasiatheria","erminea","Mustela",554,14683,183,532,11,79,62,0.785,353,9,1.79934054945358,2.07693157455566,1,1,2,1246,3.09586645347854,30,1.49136169383427,1
"3838","Mustela eversmanii",3612699,"Mustelidae","Carnivora",1684.21,1,"Yes",44.897551,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3258806544174,44.3641893378984,"Wild","","Laurasiatheria","eversmanii","Mustela",12,186,9,11,1,18,6,0.333,4,2,0.845098040014257,3.22639624165003,1,1,3,0,0,1,0.301029995663981,0
"3839","Mustela eversmannii",915607,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","eversmannii","Mustela",57,1002,38,55,2,31,18,0.581,27,3,1.27875360095283,NA,NA,0,3,0,0,6,0.845098040014257,0
"3840","Mustela felipei",275123,"Mustelidae","Carnivora",211.3,1,"Yes",6.15,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.1981418177355,4.20818110789088,"Wild","","Laurasiatheria","felipei","Mustela",4,24,4,4,0,12,2,0.167,1,1,0.477121254719662,2.32489949705231,2,0,3,374,2.57403126772772,2,0.477121254719662,1
"3841","Mustela formosanus",3612697,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","formosanus","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3842","Mustela frenata",685101,"Mustelidae","Carnivora",147,1,"Yes",38.9716780834145,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.0609709358672,39.7661640140935,"Wild","","Laurasiatheria","frenata","Mustela",69,1370,46,69,0,75,20,0.267,27,3,1.32221929473392,2.16731733474818,1,1,3,1215,3.08493357493672,7,0.903089986991944,1
"3843","Mustela galinthias",7656033,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","galinthias","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3844","Mustela itatsi",975082,"Mustelidae","Carnivora",57,1,"Yes",36.272679,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.135722156994,36.154483232998,"Wild","","Laurasiatheria","itatsi","Mustela",37,426,23,37,0,32,11,0.344,14,2,1.07918124604762,1.75587485567249,NA,0,3,0,0,3,0.602059991327962,0
"3845","Mustela jageri",7656034,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","jageri","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3846","Mustela kathiah",1075273,"Mustelidae","Carnivora",208.08,1,"Yes",25.466669,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.329559358951,26.3489800433747,"Partially-domesticated","","Laurasiatheria","kathiah","Mustela",7,54,7,6,1,11,4,0.364,1,0,0.698970004336019,2.31823033918782,1,1,2,0,0,2,0.477121254719662,0
"3847","Mustela lutreola",923105,"Mustelidae","Carnivora",440,1,"Yes",43.58243,"Critically Endangered","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0505860189376,45.7538102116627,"Partially-domesticated","","Laurasiatheria","lutreola","Mustela",159,2804,95,148,3,62,28,0.452,83,4,1.46239799789896,2.64345267648619,4,1,2,1076,3.03221570329798,20,1.32221929473392,1
"3848","Mustela lutreolina",3612707,"Mustelidae","Carnivora",706.6,1,"Yes",-0.39,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,-1,"Wild","","Laurasiatheria","lutreolina","Mustela",0,0,0,0,0,NA,0,0,0,0,0,2.84917363309883,1,1,3,0,0,0,0,0
"3849","Mustela melanopus",7656035,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","melanopus","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3850","Mustela moschiferus",7656036,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","moschiferus","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3851","Mustela nigripes",541439,"Mustelidae","Carnivora",850,1,"Yes",40.0078785,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.90657842203,42.7953313549814,"Wild","","Laurasiatheria","nigripes","Mustela",183,3420,77,168,7,47,31,0.66,104,5,1.50514997831991,2.92941892571429,3,0,3,723,2.85973856619715,19,1.30102999566398,1
"3852","Mustela nudipes",378004,"Mustelidae","Carnivora",500,1,"Yes",3.75,"Least Concern","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,-1.27222187258541e-14,"Wild","","Laurasiatheria","nudipes","Mustela",0,0,0,0,0,NA,0,0,0,0,0,2.69897000433602,1,1,3,0,0,0,0,0
"3853","Mustela pentelici",7656037,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","pentelici","Mustela",1,6,1,1,0,5,1,0.2,0,1,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"3854","Mustela peregusna",7656038,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","peregusna","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3855","Mustela quoll",6145485,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","quoll","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3856","Mustela sibirica",549525,"Mustelidae","Carnivora",405,1,"Yes",30.794009,"Least Concern","establishing_ex_situ_production","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.577969470145,36.2112331704286,"Partially-domesticated","","Laurasiatheria","sibirica","Mustela",93,985,64,90,1,53,17,0.321,32,6,1.25527250510331,2.60745502321467,1,1,2,955,2.9804578922761,7,0.903089986991944,1
"3857","Mustela strigidorsa",273796,"Mustelidae","Carnivora",1500,1,"Yes",23.8197885,"Least Concern","food_human","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.000000000001,22.014111041686,"Wild","","Laurasiatheria","strigidorsa","Mustela",4,91,3,2,2,21,4,0.19,4,0,0.698970004336019,3.17609125905568,1,1,3,0,0,3,0.602059991327962,0
"3858","Mustela subpalmata",3612703,"Mustelidae","Carnivora",350.52,0,"Yes",24.089659,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,25,"Wild","","Laurasiatheria","subpalmata","Mustela",2,8,2,2,0,28,2,0.071,0,1,0.477121254719662,2.54471280302117,1,0,3,0,0,0,0,0
"3859","Mustela zanthogenys",7656040,"Mustelidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zanthogenys","Mustela",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"3860","Mydaus javanensis",890077,"Mephitidae","Carnivora",2500,1,"Yes",4.468772,"Least Concern","food_human","medicine","other_chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.000000000001,-7.00107163467533,"Wild","","Laurasiatheria","javanensis","Mydaus",5,8,4,4,0,5,2,0.4,0,1,0.477121254719662,3.39794000867204,1,1,3,541,2.73399928653839,1,0.301029995663981,1
