"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"26","Acomys chudeaui",487174,"Muridae","Rodentia",28.81,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","chudeaui","Acomys",1,31,1,1,0,12,1,0.083,1,0,0.301029995663981,1.45954325828041,NA,0,3,0,0,0,0,0
"27","Acomys cilicicus",173081,"Muridae","Rodentia",28.61,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","cilicicus","Acomys",13,94,9,13,0,26,6,0.231,4,1,0.845098040014257,1.45651785780526,NA,0,3,0,0,1,0.301029995663981,0
"28","Acomys cineraceus",1043426,"Muridae","Rodentia",30.59,2,"Yes",10.87,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.597971376553495,11.6104428141027,"Wild","","Euarchontoglires","cineraceus","Acomys",2,20,2,2,0,22,2,0.091,1,0,0.477121254719662,1.48557947698468,1,0,3,0,0,1,0.301029995663981,0
"29","Acomys dimidiatus",996659,"Muridae","Rodentia",28.81,0,"Yes",31.63,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0167941862198,31.0556504582743,"Wild","","Euarchontoglires","dimidiatus","Acomys",48,380,35,47,0,33,11,0.333,15,5,1.07918124604762,1.45954325828041,1,0,3,489,2.69019608002851,3,0.602059991327962,1
"30","Acomys ignitus",368525,"Muridae","Rodentia",24,1,"Yes",-3.633333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,-4.00244214969981,"Wild","","Euarchontoglires","ignitus","Acomys",1,19,1,1,0,20,1,0.05,1,0,0.301029995663981,1.38021124171161,1,0,3,0,0,0,0,0
"31","Acomys johannis",905136,"Muridae","Rodentia",28.81,0,"Yes",11.3414545,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33498469893667,11.6734121743135,"Wild","","Euarchontoglires","johannis","Acomys",3,44,3,3,0,25,3,0.12,2,0,0.602059991327962,1.45954325828041,1,0,3,0,0,0,0,0
"32","Acomys kempi",501413,"Muridae","Rodentia",22,1,"Yes",0.441816,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7998048347546,0.600940784397495,"Wild","","Euarchontoglires","kempi","Acomys",1,58,1,1,0,5,1,0.2,1,1,0.301029995663981,1.34242268082221,1,0,3,171,2.23552844690755,0,0,1
"33","Acomys louisae",3608604,"Muridae","Rodentia",20.2,1,"Yes",31.848948,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,"Wild","","Euarchontoglires","louisae","Acomys",0,0,0,0,0,NA,0,0,0,0,0,1.30535136944662,1,0,3,0,0,0,0,0
"34","Acomys minous",747232,"Muridae","Rodentia",62.5,1,"Yes",35.3534105,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,35,"Wild","","Euarchontoglires","minous","Acomys",7,92,6,7,0,58,5,0.086,3,1,0.778151250383644,1.79588001734408,NA,0,3,0,0,0,0,0
"35","Acomys mullah",3608602,"Muridae","Rodentia",28.74,2,"Yes",7.833334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0000000000001,7.00107163467529,"Wild","","Euarchontoglires","mullah","Acomys",0,0,0,0,0,NA,0,0,0,0,0,1.45848676379821,1,0,3,0,0,0,0,0
