"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"48","Acomys selousi","Muridae","Rodentia",6144822,NA,NA,"Yes",-15.695388,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",30.336797147536,-23.6808839089493
"49","Acomys seurati","Muridae","Rodentia",3608607,28.81,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"50","Acomys spinosissimus","Muridae","Rodentia",477714,26.5,1,"Yes",-15.831196,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",33.4731734436309,-15.3471794717339
"51","Acomys subspinosus","Muridae","Rodentia",863707,21,1,"Yes",-32.13,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",38.5010695777309,-4.50682635751027
"52","Acomys whitei","Muridae","Rodentia",7654677,NA,NA,"Yes",16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",53,17
"53","Acomys wilsoni","Muridae","Rodentia",600704,18.5,1,"Yes",-3.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37.4289961250439,-2.72373399632368
"54","Aconaemys fuscus","Octodontidae","Rodentia",620800,133.5,1,"Yes",-40.294145,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-71.9858461207621,-39.0495575070798
"55","Aconaemys porteri","Octodontidae","Rodentia",867368,113.5,0,"Yes",-40.82,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-71.6601228802953,-39.6935721943811
"56","Aconaemys sagei","Octodontidae","Rodentia",867373,96.5,1,"Yes",-38.016666,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72.3272977322962,-38.3583278219829
"57","Acrobates pulchellus","Acrobatidae","Diprotodontia",7657182,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
