"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"2980","Hipposideros sumbae","Hipposideridae","Chiroptera",3614067,13.94,0,"Yes",-9.916667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",121,-9
"2981","Hipposideros templetonii","Hipposideridae","Chiroptera",7656315,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"2983","Hipposideros terasensis","Hipposideridae","Chiroptera",316918,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"2984","Hipposideros thomensis","Hipposideridae","Chiroptera",3614066,13.94,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"2985","Hipposideros turpis","Hipposideridae","Chiroptera",1076845,33.35,1,NA,NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"2986","Hipposideros vittatus","Hipposideridae","Chiroptera",3614059,13.94,0,"Yes",-3.33092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",39.4989304222692,-4.50682635751027
"2987","Hipposideros wollastoni","Hipposideridae","Chiroptera",3614073,6.75,1,"Yes",-5.31321313851806,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",143.000000000002,-7.00107163467538
"2988","Hippotragus equinus","Bovidae","Artiodactyla",860772,269997.66,1,NA,NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",NA,NA
"2989","Hippotragus leucophaeus","Bovidae","Artiodactyla",860776,150000,1,"Yes",47.713543,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",9,47
"2990","Hippotragus niger","Bovidae","Artiodactyla",860770,227499.27,1,NA,NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",NA,NA
"2991","Hippotragus niro","Bovidae","Artiodactyla",7655590,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"2992","Histiotus alienus","Vespertilionidae","Chiroptera",3613721,10.42,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"2993","Histiotus diaphanopterus","Vespertilionidae","Chiroptera",6146502,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"2994","Histiotus humboldti","Vespertilionidae","Chiroptera",3613719,11.1,0,"Yes",5.053814,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-76,4.00244214969981
"2995","Histiotus laephotis","Vespertilionidae","Chiroptera",3613724,11.1,0,"Yes",-24.9292875,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-68.9999999999993,-29.0048379862776
"2996","Histiotus macrotus","Vespertilionidae","Chiroptera",10323,11,1,"Yes",-28.809427,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-65.5877614875531,-25.6294757950436
"2997","Histiotus magellanicus","Vespertilionidae","Chiroptera",235397,11.1,0,"Yes",-41.97429,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-67.0000000000007,-43.0081393014272
"2998","Histiotus montanus","Vespertilionidae","Chiroptera",3613723,10.42,2,"Yes",-32.8264585,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72.5136296570587,-41.8499224849825
"2999","Histiotus velatus","Vespertilionidae","Chiroptera",3613722,11.2,1,"Yes",-20.75,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-44.339454883487,-21.369176702133
"3000","Histriophoca fasciata","Phocidae","Carnivora",664065,90000,1,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"3001","Hodomys alleni","Cricetidae","Rodentia",578692,367.6,1,"Yes",18.93417,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-102.251909570692,19.6558949937973
"3002","Holochilus brasiliensis","Cricetidae","Rodentia",883804,155,1,"Yes",-25.35936,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-58.6480926716188,-29.887453116444
"3003","Holochilus chacarius","Cricetidae","Rodentia",621034,204,1,"Yes",-24.9468,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-58.0651972319361,-24.7815758381182
"3004","Holochilus lagigliai","Cricetidae","Rodentia",6144784,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3005","Holochilus sciureus","Cricetidae","Rodentia",469040,170.96,1,"Yes",-3.284217,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-63.8518693340659,-15.5974532437781
"3006","Holochilus vulpinus","Cricetidae","Rodentia",903253,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3007","Homo sapiens","Hominidae","Primates",770315,58540.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
"3009","Hoolock leuconedys","Hylobatidae","Primates",574262,NA,NA,"Yes",NA,"Vulnerable","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3010","Hoolock tianxing","Hylobatidae","Primates",7067554,NA,NA,"Yes",24.949213,"Endangered","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",97.0000000000017,21.0033503084768
"3011","Hoplomys gymnurus","Echimyidae","Rodentia",473596,240,1,"Yes",6.711014,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-83.0105022867104,11.5336662576098
"3012","Hsunycteris cadenai","Phyllostomidae","Chiroptera",5555348,NA,NA,"Yes",5.371548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-77,5.00687923771455
"3013","Hsunycteris dashe","Phyllostomidae","Chiroptera",7067803,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3014","Hsunycteris pattoni","Phyllostomidae","Chiroptera",5555347,NA,NA,"Yes",0.022056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-67.0000000000006,-15.0023386074298
"3015","Hsunycteris thomasi","Phyllostomidae","Chiroptera",546392,NA,NA,"Yes",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-57.936316278853,4.20754893071418
"3018","Hyaena brunnea","Hyaenidae","Carnivora",742313,42977.93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3019","Hyaena chaeretis","Hyaenidae","Carnivora",7656182,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3020","Hyaena colvini","Hyaenidae","Carnivora",7656183,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3021","Hyaena hyaena","Hyaenidae","Carnivora",383901,41705.11,1,"Yes",31.45,"Near Threatened","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37.1419854279247,0.00139764477993477
"3022","Hyaena macrostoma","Hyaenidae","Carnivora",7656185,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3023","Hyaenarctos maraghanus","Ursidae","Carnivora",7656094,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3024","Hyaenarctos palaeindicus","Ursidae","Carnivora",7656095,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3025","Hyaenarctos punjabiensis","Ursidae","Carnivora",7656096,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3026","Hyaena sinensis","Hyaenidae","Carnivora",7656186,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3027","Hybomys badius","Muridae","Rodentia",3608672,51.22,0,"Yes",6.22,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",11,7
"3028","Hybomys basilii","Muridae","Rodentia",3608674,54.18,2,"Yes",3.36111,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",9,3
"3029","Hybomys eisentrauti","Muridae","Rodentia",7067421,NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3030","Hybomys lunaris","Muridae","Rodentia",154793,54.1,2,"Yes",0.6,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29,-4.00244214969981
"3031","Hybomys planifrons","Muridae","Rodentia",3608671,49.6,1,"Yes",7.483333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-9.50413702423327,7.25906005133794
"3032","Hybomys rufocanus","Muridae","Rodentia",7067422,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3033","Hybomys trivirgatus","Muridae","Rodentia",3608670,56.9,1,"Yes",5.77,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-5.83590633342608,6.33898396710381
"3034","Hybomys univittatus","Muridae","Rodentia",666961,47.6,1,"Yes",0.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",18.6361162265627,1.5188201821651
"3035","Hydrictis maculicollis","Mustelidae","Carnivora",310493,4180.53,1,"Yes",0.062528,"Near Threatened","food_human","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",30.6663608906139,0.501675256740202
"3036","Hydrochoeris hydrochaeris","Caviidae","Rodentia",7654488,NA,NA,"Yes",-16.483166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-57.3393242515545,-20.3702413376507
"3037","Hydrochoeris isthmius","Caviidae","Rodentia",3609897,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3038","Hydrochoerus hydrochaeris","Caviidae","Rodentia",744018,48144.91,1,"Yes",5.05,"Least Concern","food_human","unknown","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.5080030337329,-25.9092478261409
"3039","Hydrochoerus isthmius","Caviidae","Rodentia",4940750,21267.32,1,"Yes",9.015055,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-75.2022256412635,7.8131475972511
"3040","Hydromys chrysogaster","Muridae","Rodentia",989544,479.75,1,"Yes",-34.8629,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",145.656021841622,-29.3957159510966
"3042","Hydromys hussoni","Muridae","Rodentia",3608612,141.87,2,"Yes",-3.927778,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",137,-3
"3043","Hydromys neobritannicus","Muridae","Rodentia",3608610,135.43,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3045","Hydromys ziegleri","Muridae","Rodentia",3608611,NA,NA,"Yes",-3.65226062495688,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",143,-3
"3046","Hydropotes inermis","Cervidae","Artiodactyla",194504,14000,1,NA,NA,"Vulnerable","food_human","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",NA,NA
"3047","Hydrurga leptonyx","Phocidae","Carnivora",180388,360000,1,"Yes",-53.016,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",76.5450199609103,-65.5598725559796
"3048","Hyemoschus aquaticus","Tragulidae","Artiodactyla",456395,10850.01,1,"Yes",5.2900385,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-9.40186679320487,7.00622229811495
"3049","Hyladelphys kalinowskii","Didelphidae","Didelphimorphia",844767,16.75,1,"Yes",3.836013,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-75.0000000000005,-11.0016965084064
"3050","Hylaeamys acritus","Cricetidae","Rodentia",671133,NA,NA,"Yes",-14.7672,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-61,-15
"3051","Hylaeamys laticeps","Cricetidae","Rodentia",874893,NA,NA,"Yes",-15.35,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-42,-19.0030052338494
"3052","Hylaeamys megacephalus","Cricetidae","Rodentia",469034,NA,NA,"Yes",0.466667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-55.296521607504,0.830441094459014
"3053","Hylaeamys oniscus","Cricetidae","Rodentia",3608304,NA,NA,"Yes",-14.816666,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-39,-15
"3054","Hylaeamys perenensis","Cricetidae","Rodentia",634762,NA,NA,"Yes",-6.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72.4935160180269,-11.2642563572165
"3055","Hylaeamys tatei","Cricetidae","Rodentia",4940967,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3056","Hylaeamys yunganus","Cricetidae","Rodentia",509347,NA,NA,"Yes",-2.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-76.5928340149933,-6.22813130484413
"3057","Hylobates abbotti","Hylobatidae","Primates",96939,NA,NA,NA,NA,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA
"3058","Hylobates agilis","Hylobatidae","Primates",166550,5650,1,NA,NA,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3059","Hylobates albibarbis","Hylobatidae","Primates",96942,5692.08,0,"Yes",-1.216111,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",112.500457111877,-2.50108589298885
"3060","Hylobates funereus","Hylobatidae","Primates",96947,NA,NA,NA,NA,"Endangered","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA
"3061","Hylobates klossii","Hylobatidae","Primates",995047,5800,1,"Yes",1.066667,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",100.333604352096,-1.66771894838851
"3062","Hylobates lar","Hylobatidae","Primates",995038,4892,1,NA,NA,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3063","Hylobates moloch","Hylobatidae","Primates",732213,6500,1,"Yes",-6.7736,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",107,-7.00107163467528
"3064","Hylobates muelleri","Hylobatidae","Primates",995050,6000,1,NA,NA,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3065","Hylobates pileatus","Hylobatidae","Primates",995054,5440,1,"Yes",14.4205,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101.995966729237,13.0141205106236
"3066","Hylochoerus meinertzhageni","Suidae","Artiodactyla",1077367,188500,1,"Yes",-0.166667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29.8564956931245,1.00119824039862
"3067","Hylochoerus rimator","Suidae","Artiodactyla",7655721,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3068","Hylomyscus aeta","Muridae","Rodentia",169550,20,1,"Yes",0.8333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",26.0003049270987,1.00106754317189
"3069","Hylomyscus alleni","Muridae","Rodentia",844520,19.95,1,"Yes",3.92,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-3.94210727541375,7.68589591189566
"3070","Hylomyscus anselli","Muridae","Rodentia",493359,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3071","Hylomyscus arcimontensis","Muridae","Rodentia",5340682,NA,NA,"Yes",-6.91585,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35.9914032601937,-7.2717973834658
"3072","Hylomyscus baeri","Muridae","Rodentia",169552,21.09,0,"Yes",6.38,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-2,7.00107163467525
"3073","Hylomyscus carillus","Muridae","Rodentia",3608636,21.56,2,"Yes",-9.125,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",15.8501801496729,-10.7299852207619
"3074","Hylomyscus denniae","Muridae","Rodentia",565395,36,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3075","Hylomyscus endorobae","Muridae","Rodentia",5340683,NA,NA,"Yes",-0.239433,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",36.5,-0.500095220137895
"3076","Hylomyscus grandis","Muridae","Rodentia",541011,21.09,0,"Yes",6.22,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",11,7
"3077","Hylomyscus heinrichorum","Muridae","Rodentia",6144893,NA,NA,"Yes",-12.46667,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",15,-13
"3078","Hylomyscus kaimosae","Muridae","Rodentia",342264,NA,NA,"Yes",-0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",37,-1
"3079","Hylomyscus kerbispeterhansi","Muridae","Rodentia",5852652,NA,NA,"Yes",0.99973,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35.6666666666667,-0.333399165236327
"3080","Hylomyscus pamfi","Muridae","Rodentia",767228,NA,NA,"Yes",7.43,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",2.49815749631896,7.50389606538031
"3081","Hylomyscus parvus","Muridae","Rodentia",143561,14.5,1,"Yes",-0.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",12.999390331707,2.00121958443327
"3082","Hylomyscus simus","Muridae","Rodentia",169554,NA,NA,"Yes",6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-8.71999277742848,7.57914744796633
"3083","Hylomyscus stella","Muridae","Rodentia",185338,20.05,1,"Yes",0.501044,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",30.0003057190413,0.500323568486071
"3084","Hylomyscus vulcanorum","Muridae","Rodentia",5341173,NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA
"3085","Hylomyscus walterverheyeni","Muridae","Rodentia",212549,NA,NA,"Yes",2.783,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",12.4281732431693,0.429127630374037
"3086","Hylomys megalotis","Erinaceidae","Erinaceomorpha",3614706,65.83,0,"Yes",17.55,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",105,17
"3087","Hylomys parvus","Erinaceidae","Eulipotyphla",935425,65.83,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3088","Hylomys siamensis","Erinaceidae","Eulipotyphla",7656531,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3089","Hylomys suillus","Erinaceidae","Eulipotyphla",17267,65.83,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3090","Hylonycteris underwoodi","Phyllostomidae","Chiroptera",658357,6.65,1,"Yes",16.462361,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-96.9383863770594,17.5602178779766
"3091","Hylopetes alboniger","Sciuridae","Rodentia",348565,255.38,1,"Yes",25.299999,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",94.6881417699988,26.3672071683198
"3092","Hylopetes bartelsi","Sciuridae","Rodentia",3609033,146.63,2,"Yes",-6.8269,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",107,-7
"3093","Hylopetes lepidus","Sciuridae","Rodentia",348556,50,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3094","Hylopetes nigripes","Sciuridae","Rodentia",348558,534,1,"Yes",9.73,"Near Threatened","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",118.334702935937,9.67225024912921
"3095","Hylopetes phayrei","Sciuridae","Rodentia",43432,227,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3096","Hylopetes platyurus","Sciuridae","Rodentia",3609037,56.98,1,"Yes",2.92,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",102,3.00045740230187
"3098","Hylopetes sipora","Sciuridae","Rodentia",3609038,89.2,1,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"3099","Hylopetes spadiceus","Sciuridae","Rodentia",348577,84.25,1,"Yes",2.37,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",107.995966729237,13.0141205106236
"3100","Hylopetes winstoni","Sciuridae","Rodentia",3609039,170.82,2,"Yes",4.733461,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",97,5
"3101","Hyomys dammermani","Muridae","Rodentia",3608735,932.5,1,"Yes",-3.9167,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",142.999999999999,-5.00076357997971
"3102","Hyomys goliath","Muridae","Rodentia",156338,817.5,1,"Yes",-7.44883925788946,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",147,-7.00107163467528
