"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1"
"5952","Sminthopsis_macroura","macroura","Sminthopsis",8,71,8,6,0,18,4,0.222,4,1,0.698970004336019
"5953","Sminthopsis_ooldea","ooldea","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5954","Sminthopsis_psammophila","psammophila","Sminthopsis",2,5,2,1,0,7,2,0.286,0,1,0.477121254719662
"5955","Sminthopsis_stalkeri","stalkeri","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5956","Sminthopsis_youngsoni","youngsoni","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5957","Solenodon_arredondoi","arredondoi","Solenodon",0,0,0,0,0,NA,0,0,0,0,0
"5958","Solenodon_cubanus","cubanus","Solenodon",4,144,4,4,0,40,3,0.075,2,0,0.602059991327962
"5959","Solenodon_marcanoi","marcanoi","Solenodon",0,0,0,0,0,NA,0,0,0,0,0
"5960","Solisorex_pearsoni","pearsoni","Solisorex",0,0,0,0,0,NA,0,0,0,0,0
"5961","Solomys_ponceleti","ponceleti","Solomys",0,0,0,0,0,NA,0,0,0,0,0
"5962","Solomys_salamonis","salamonis","Solomys",0,0,0,0,0,NA,0,0,0,0,0
"5963","Solomys_salebrosus","salebrosus","Solomys",0,0,0,0,0,NA,0,0,0,0,0
"5964","Solomys_sapientis","sapientis","Solomys",0,0,0,0,0,NA,0,0,0,0,0
"5965","Solomys_spriggsarum","spriggsarum","Solomys",0,0,0,0,0,NA,0,0,0,0,0
"5966","Sommeromys_macrorhinos","macrorhinos","Sommeromys",0,0,0,0,0,NA,0,0,0,0,0
"5967","Sommeromys_macrorhinus","macrorhinus","Sommeromys",0,0,0,0,0,NA,0,0,0,0,0
"5968","Sooretamys_angouya","angouya","Sooretamys",4,16,4,4,0,14,2,0.143,1,1,0.477121254719662
"5969","Sorex_alaskanus","alaskanus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5970","Sorex_alpinus","alpinus","Sorex",1,12,1,1,0,7,1,0.143,1,0,0.301029995663981
"5971","Sorex_annexus","annexus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5972","Sorex_antinorii","antinorii","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5973","Sorex_araneus","araneus","Sorex",16,320,16,16,0,23,10,0.435,10,2,1.04139268515822
"5974","Sorex_arcticus","arcticus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5975","Sorex_arizonae","arizonae","Sorex",1,4,1,1,0,22,1,0.045,0,0,0.301029995663981
"5976","Sorex_arunchi","arunchi","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5977","Sorex_asper","asper","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5978","Sorex_averini","averini","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5979","Sorex_bairdi","bairdi","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5980","Sorex_batis","batis","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5981","Sorex_bedfordiae","bedfordiae","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5982","Sorex_buchariensis","buchariensis","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5983","Sorex_burneyi","burneyi","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5984","Sorex_caecutiens","caecutiens","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5985","Sorex_camtschatica","camtschatica","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5986","Sorex_cansulus","cansulus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5987","Sorex_centralis","centralis","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5988","Sorex_chiapensis","chiapensis","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5989","Sorex_cinnamomeus","cinnamomeus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5990","Sorex_coronatus","coronatus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5991","Sorex_crassicaudus","crassicaudus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5992","Sorex_cristobalensis","cristobalensis","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5993","Sorex_cylindricauda","cylindricauda","Sorex",1,25,1,1,0,13,1,0.077,1,0,0.301029995663981
"5994","Sorex_daphaenodon","daphaenodon","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5995","Sorex_emarginatus","emarginatus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
"5996","Sorex_excelsus","excelsus","Sorex",0,0,0,0,0,NA,0,0,0,0,0
