"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"1","Abditomys_latidens","latidens","Abditomys",0,0,0,0,0,NA,0,0,0,0
"2","Abrawayaomys_chebezi","chebezi","Abrawayaomys",2,11,2,2,0,6,2,0.333,0,1
"3","Abrawayaomys_ruschii","ruschii","Abrawayaomys",8,62,6,8,0,13,6,0.462,2,3
"4","Abrocoma_boliviensis","boliviensis","Abrocoma",3,26,3,3,0,19,2,0.105,1,0
"5","Abrocoma_budini","budini","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"6","Abrocoma_cinerea","cinerea","Abrocoma",10,175,9,10,0,22,8,0.364,5,0
"7","Abrocoma_famatina","famatina","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"8","Abrocoma_shistacea","shistacea","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"9","Abrocoma_uspallata","uspallata","Abrocoma",1,7,1,1,0,16,1,0.062,0,0
"10","Abrocoma_vaccarum","vaccarum","Abrocoma",1,14,1,1,0,25,1,0.04,1,0
"11","Abrothrix_hershkovitzi","hershkovitzi","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"12","Abrothrix_illuteus","illuteus","Abrothrix",5,20,4,5,0,45,3,0.067,0,2
"13","Abrothrix_lanosus","lanosus","Abrothrix",3,24,3,3,0,11,2,0.182,1,0
"14","Abrothrix_manni","manni","Abrothrix",2,0,2,2,0,3,0,0,0,0
"15","Abrothrix_markhami","markhami","Abrothrix",1,13,1,1,0,13,1,0.077,1,0
"16","Abrothrix_sanborni","sanborni","Abrothrix",9,250,4,9,0,33,7,0.212,6,1
"17","Acerodon_celebensis","celebensis","Acerodon",4,56,4,3,0,13,3,0.231,2,1
"18","Acerodon_humilis","humilis","Acerodon",1,28,1,1,0,19,1,0.053,1,0
"19","Acerodon_jubatus","jubatus","Acerodon",6,138,6,5,0,16,5,0.312,5,1
"20","Acerodon_leucotis","leucotis","Acerodon",1,74,1,1,0,17,1,0.059,1,0
"21","Acerodon_mackloti","mackloti","Acerodon",1,17,1,1,0,31,1,0.032,1,0
"22","Acinonyx_jubatus","jubatus","Acinonyx",795,20314,282,713,22,59,71,1.203,413,15
"23","Acinonyx_pardinensis","pardinensis","Acinonyx",14,211,12,12,0,26,9,0.346,9,0
"24","Acomys_airensis","airensis","Acomys",4,104,3,4,0,46,3,0.065,3,0
"25","Acomys_cahirinus","cahirinus","Acomys",429,6541,222,407,7,116,41,0.353,203,9
"26","Acomys_chudeaui","chudeaui","Acomys",1,31,1,1,0,12,1,0.083,1,0
"27","Acomys_cilicicus","cilicicus","Acomys",13,94,9,13,0,26,6,0.231,4,1
"28","Acomys_cineraceus","cineraceus","Acomys",2,20,2,2,0,22,2,0.091,1,0
"29","Acomys_dimidiatus","dimidiatus","Acomys",48,380,35,47,0,33,11,0.333,15,5
"30","Acomys_ignitus","ignitus","Acomys",1,19,1,1,0,20,1,0.05,1,0
"31","Acomys_johannis","johannis","Acomys",3,44,3,3,0,25,3,0.12,2,0
"32","Acomys_kempi","kempi","Acomys",1,58,1,1,0,5,1,0.2,1,1
"33","Acomys_louisae","louisae","Acomys",0,0,0,0,0,NA,0,0,0,0
"34","Acomys_minous","minous","Acomys",7,92,6,7,0,58,5,0.086,3,1
"35","Acomys_mullah","mullah","Acomys",0,0,0,0,0,NA,0,0,0,0
"36","Acomys_muzei","muzei","Acomys",1,12,1,1,0,10,1,0.1,1,0
"37","Acomys_nesiotes","nesiotes","Acomys",5,33,4,5,0,22,3,0.136,1,1
"38","Acomys_ngurui","ngurui","Acomys",2,14,1,1,0,10,2,0.2,1,0
"39","Acomys_percivali","percivali","Acomys",6,65,6,6,0,49,4,0.082,4,1
"40","Acomys_selousi","selousi","Acomys",1,15,1,1,0,56,1,0.018,1,0
"41","Acomys_seurati","seurati","Acomys",0,0,0,0,0,NA,0,0,0,0
"42","Acomys_spinosissimus","spinosissimus","Acomys",28,294,17,28,0,31,12,0.387,14,1
"43","Acomys_subspinosus","subspinosus","Acomys",19,248,13,18,0,56,10,0.179,10,2
