"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"4864","Nyctimene rabori","rabori","Nyctimene",2,45,2,32,1,0.031,1,0,"Pteropodidae","Chiroptera",3613466,67.5,1,"Yes",9.35,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,123.000000000001,11.0152844489671,"Laurasiatheria",0,0.301029995663981,1.82930377283102,3,0,3
"4865","Nyctimene robinsoni","robinsoni","Nyctimene",5,72,5,32,4,0.125,3,0,"Pteropodidae","Chiroptera",687483,49.48,1,"Yes",-17.8667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,152.212156878121,-25.857779393328,"Laurasiatheria",0.602059991327962,0.698970004336019,1.69442969095708,1,0,3
"4866","Nyctimene sanctacrucis","sanctacrucis","Nyctimene",0,0,0,NA,0,0,0,0,"Pteropodidae","Chiroptera",3613460,51.64,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,1.71298623359438,NA,0,3
"4867","Nyctimene vizcaccia","vizcaccia","Nyctimene",0,0,0,NA,0,0,0,0,"Pteropodidae","Chiroptera",48411,40,1,"Yes",-8.00196,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,157.002453657659,-8.0049083220399,"Laurasiatheria",-Inf,0,1.60205999132796,1,0,3
"4868","Nyctinomops aurispinosus","aurispinosus","Nyctinomops",5,29,5,12,4,0.333,1,0,"Molossidae","Chiroptera",705003,17.95,1,"Yes",19.166667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-103.824672085767,22.9327525041098,"Laurasiatheria",0.602059991327962,0.698970004336019,1.25406445291434,1,0,3
"4869","Nyctinomops femorosaccus","femorosaccus","Nyctinomops",6,51,5,20,4,0.2,2,0,"Molossidae","Chiroptera",171156,14.63,1,"Yes",28.306525,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-112.850754872693,30.1284308533356,"Laurasiatheria",0.602059991327962,0.698970004336019,1.16524432612531,1,0,3
"4870","Nyctinomops laticaudatus","laticaudatus","Nyctinomops",37,450,33,26,10,0.385,12,3,"Molossidae","Chiroptera",301608,12.22,1,"Yes",6.2,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-95.0057581642596,18.4646503664193,"Laurasiatheria",1,1.04139268515822,1.08707120590654,1,0,3
"4871","Nyctinomops macrotis","macrotis","Nyctinomops",29,455,21,33,9,0.273,8,1,"Molossidae","Chiroptera",267989,18.4,1,"Yes",26.699994,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-106.447138475298,30.2323459288861,"Laurasiatheria",0.954242509439325,1,1.26481782300954,1,0,3
"4872","Nyctomys sumichrasti","sumichrasti","Nyctomys",9,103,6,57,4,0.07,2,0,"Cricetidae","Rodentia",612157,49.44,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.602059991327962,0.698970004336019,1.69407846208076,1,0,3
"4873","Nyctophilus arnhemensis","arnhemensis","Nyctophilus",2,18,2,12,2,0.167,1,0,"Vespertilionidae","Chiroptera",1066077,6.65,1,"Yes",-14.566667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,131.884318989727,-14.3317719225265,"Laurasiatheria",0.301029995663981,0.477121254719662,0.822821645303105,1,0,3
"4874","Nyctophilus australis","australis","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",7656443,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"4875","Nyctophilus bifax","bifax","Nyctophilus",12,293,11,39,10,0.256,10,0,"Vespertilionidae","Chiroptera",3613743,9.89,1,"Yes",-28.529795,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,151.528964582734,-29.3818081850509,"Laurasiatheria",1,1.04139268515822,0.995196291597179,1,0,3
"4876","Nyctophilus corbeni","corbeni","Nyctophilus",2,16,2,5,2,0.4,1,1,"Vespertilionidae","Chiroptera",6146536,NA,NA,"Yes",-30.9939775,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,147.00591267624,-32.2039742762389,"Laurasiatheria",0.301029995663981,0.477121254719662,NA,2,0,3
"4877","Nyctophilus daedalus","daedalus","Nyctophilus",1,16,1,12,1,0.083,1,0,"Vespertilionidae","Chiroptera",6146537,NA,NA,"Yes",-16.5618805,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,129.908926772278,-14.4953942016756,"Laurasiatheria",0,0.301029995663981,NA,1,0,3
"4878","Nyctophilus geoffroyi","geoffroyi","Nyctophilus",45,1252,22,46,21,0.457,31,2,"Vespertilionidae","Chiroptera",687566,7.28,1,"Yes",-34.898499,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,134.827431705793,-27.3428051655841,"Laurasiatheria",1.32221929473392,1.34242268082221,0.862131379313037,1,0,3
"4879","Nyctophilus gouldi","gouldi","Nyctophilus",31,805,20,36,17,0.472,20,4,"Vespertilionidae","Chiroptera",867402,10,1,"Yes",-32.970098,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,147.594690831303,-31.6595860093305,"Laurasiatheria",1.23044892137827,1.25527250510331,1,1,0,3
"4880","Nyctophilus heran","heran","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",3613744,7.63,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,0.882524537954881,NA,0,3
"4881","Nyctophilus howensis","howensis","Nyctophilus",1,16,1,12,1,0.083,1,0,"Vespertilionidae","Chiroptera",3613748,7.78,0,"Yes",-31.55,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,159,-31,"Laurasiatheria",0,0.301029995663981,0.890979596989689,NA,0,3
"4882","Nyctophilus major","major","Nyctophilus",7,111,4,24,5,0.208,4,1,"Vespertilionidae","Chiroptera",6146538,NA,NA,"Yes",-31.3968,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,125.532350611318,-31.7500925586859,"Laurasiatheria",0.698970004336019,0.778151250383644,NA,1,0,3
"4883","Nyctophilus microdon","microdon","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",3613742,7.63,2,"Yes",-5.574,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,143,-5,"Laurasiatheria",-Inf,0,0.882524537954881,NA,0,3
"4884","Nyctophilus microtis","microtis","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",3613745,7.1,1,"Yes",-4.89542057920836,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,143.999999999999,-5.00076357997971,"Laurasiatheria",-Inf,0,0.851258348719075,1,0,3
"4885","Nyctophilus nebulosus","nebulosus","Nyctophilus",1,12,1,20,1,0.05,1,0,"Vespertilionidae","Chiroptera",3613746,7.78,0,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",0,0.301029995663981,0.890979596989689,4,0,3
"4886","Nyctophilus sherrini","sherrini","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",3613750,NA,NA,"Yes",-43.010821,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,147.015722395728,-42.0314537704683,"Laurasiatheria",-Inf,0,NA,2,0,3
"4887","Nyctophilus shirleyae","shirleyae","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",6146539,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"4888","Nyctophilus timoriensis","timoriensis","Nyctophilus",6,122,6,33,5,0.152,4,0,"Vespertilionidae","Chiroptera",3613741,11.73,1,"Yes",-27.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,116.328501918548,-32.3533496159456,"Laurasiatheria",0.698970004336019,0.778151250383644,1.06929801211553,NA,0,3
"4889","Nyctophilus unicolor","unicolor","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",7656444,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"4890","Nyctophilus walkeri","walkeri","Nyctophilus",0,0,0,NA,0,0,0,0,"Vespertilionidae","Chiroptera",3613749,4.34,1,"Yes",-14.821389,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,129.288816159424,-14.5620521987469,"Laurasiatheria",-Inf,0,0.637489729512511,1,0,3
"4891","Ochotona alpina","alpina","Ochotona",16,149,11,50,6,0.12,3,1,"Ochotonidae","Lagomorpha",747635,150,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.778151250383644,0.845098040014257,2.17609125905568,1,0,3
"4892","Ochotona annectens","annectens","Ochotona",1,45,1,17,1,0.059,1,0,"Ochotonidae","Lagomorpha",591507,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,NA,NA,0,3
"4893","Ochotona argentata","argentata","Ochotona",2,32,2,17,2,0.118,1,0,"Ochotonidae","Lagomorpha",3611325,142.15,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,2.15274686402646,3,0,3
"4894","Ochotona bedfordi","bedfordi","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654371,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4895","Ochotona cansus","cansus","Ochotona",16,149,9,32,7,0.219,4,1,"Ochotonidae","Lagomorpha",832826,68.75,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.845098040014257,0.903089986991944,1.8372727025023,1,0,3
"4896","Ochotona collaris","collaris","Ochotona",33,848,27,47,17,0.362,21,1,"Ochotonidae","Lagomorpha",335092,129,1,"Yes",63.351812917536,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-141.075178104944,63.2784180339947,"Euarchontoglires",1.23044892137827,1.25527250510331,2.11058971029925,1,0,3
"4897","Ochotona coreana","coreana","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",149301,NA,NA,"Yes",41.09,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,127,41,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4898","Ochotona curzoniae","curzoniae","Ochotona",297,3752,153,37,31,0.838,102,12,"Ochotonidae","Lagomorpha",832831,131.48,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.49136169383427,1.50514997831991,2.11885969540959,1,0,3
"4899","Ochotona dauurica","dauurica","Ochotona",23,186,18,26,10,0.385,10,3,"Ochotonidae","Lagomorpha",832836,109,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1,1.04139268515822,2.03742649794062,1,0,3
"4900","Ochotona erythrotis","erythrotis","Ochotona",5,21,5,24,3,0.125,1,1,"Ochotonidae","Lagomorpha",439625,181,1,"Yes",32.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,103,32.0218257326874,"Euarchontoglires",0.477121254719662,0.602059991327962,2.25767857486918,1,0,3
"4901","Ochotona fenisex","fenisex","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654372,NA,NA,"Yes",47.35487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-121,47,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4902","Ochotona forresti","forresti","Ochotona",5,37,5,10,4,0.4,1,3,"Ochotonidae","Lagomorpha",439623,111.65,2,"Yes",25.981383,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,99,25,"Euarchontoglires",0.602059991327962,0.698970004336019,2.04785872740746,1,0,3
"4903","Ochotona gaoligongensis","gaoligongensis","Ochotona",3,23,3,9,2,0.222,1,1,"Ochotonidae","Lagomorpha",3611327,111.61,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,2.0477031081343,NA,0,3
"4904","Ochotona gloveri","gloveri","Ochotona",2,52,2,17,2,0.118,1,1,"Ochotonidae","Lagomorpha",691100,181.97,2,"Yes",32.639374,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,96.328501918546,32.3533496159451,"Euarchontoglires",0.301029995663981,0.477121254719662,2.25999979508189,1,0,3
"4905","Ochotona hamica","hamica","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654373,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4906","Ochotona himalayana","himalayana","Ochotona",3,81,3,17,3,0.176,2,1,"Ochotonidae","Lagomorpha",258383,189.31,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.477121254719662,0.602059991327962,2.27717355548579,NA,0,3
"4907","Ochotona hoffmanni","hoffmanni","Ochotona",3,40,3,15,3,0.2,1,0,"Ochotonidae","Lagomorpha",50370,142.15,0,"Yes",47.423412,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,100.999999999996,47.0093601902573,"Euarchontoglires",0.477121254719662,0.602059991327962,2.15274686402646,3,0,3
"4908","Ochotona huangensis","huangensis","Ochotona",6,101,6,25,4,0.16,4,1,"Ochotonidae","Lagomorpha",258381,105.33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.602059991327962,0.698970004336019,2.02255208418501,NA,0,3
"4909","Ochotona hyperborea","hyperborea","Ochotona",27,223,22,58,8,0.138,6,1,"Ochotonidae","Lagomorpha",258378,120,1,"Yes",62.333333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,170.501856017105,67.1448648805037,"Euarchontoglires",0.903089986991944,0.954242509439325,2.07918124604762,1,0,3
"4910","Ochotona iliensis","iliensis","Ochotona",2,59,2,17,2,0.118,2,0,"Ochotonidae","Lagomorpha",435706,209.75,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,2.32170196950074,3,0,3
"4911","Ochotona koslowi","koslowi","Ochotona",3,72,3,17,3,0.176,2,0,"Ochotonidae","Lagomorpha",258376,182.03,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.477121254719662,0.602059991327962,2.26014296908821,3,0,3
"4912","Ochotona ladacensis","ladacensis","Ochotona",1,45,1,17,1,0.059,1,0,"Ochotonidae","Lagomorpha",439610,182.19,2,"Yes",33.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,79,33,"Euarchontoglires",0,0.301029995663981,2.26052453584223,1,0,3
"4913","Ochotona lama","lama","Ochotona",1,2,1,46,1,0.022,0,0,"Ochotonidae","Lagomorpha",7654374,NA,NA,"Yes",28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,83,29,"Euarchontoglires",0,0.301029995663981,NA,NA,0,3
"4914","Ochotona macrotis","macrotis","Ochotona",3,15,2,11,3,0.273,0,1,"Ochotonidae","Lagomorpha",439598,260,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.477121254719662,0.602059991327962,2.41497334797082,1,0,3
"4915","Ochotona mantchurica","mantchurica","Ochotona",3,12,3,10,2,0.2,0,0,"Ochotonidae","Lagomorpha",511402,NA,NA,"Yes",52.32,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,119.516322474467,51.5992879853603,"Euarchontoglires",0.301029995663981,0.477121254719662,NA,1,0,3
"4916","Ochotona muliensis","muliensis","Ochotona",2,52,2,17,2,0.118,1,1,"Ochotonidae","Lagomorpha",899308,182,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,2.26007138798507,NA,0,3
"4917","Ochotona nigritia","nigritia","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",3611323,142.15,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,2.15274686402646,NA,0,3
"4918","Ochotona nubrica","nubrica","Ochotona",2,52,2,17,2,0.118,1,1,"Ochotonidae","Lagomorpha",258392,116.21,2,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,2.06524350118646,1,0,3
"4919","Ochotona opaca","opaca","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",6144150,NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA,"Euarchontoglires",-Inf,0,NA,1,0,3
"4920","Ochotona pallasi","pallasi","Ochotona",20,237,18,49,8,0.163,7,3,"Ochotonidae","Lagomorpha",258390,149.62,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.903089986991944,0.954242509439325,2.17498965040733,NA,0,3
"4921","Ochotona pricei","pricei","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654375,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4922","Ochotona princeps","princeps","Ochotona",265,7585,122,74,49,0.662,159,10,"Ochotonidae","Lagomorpha",644261,157.63,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.69019608002851,1.69897000433602,2.19763887555557,1,0,3
"4923","Ochotona pusilla","pusilla","Ochotona",20,196,16,40,8,0.2,7,2,"Ochotonidae","Lagomorpha",444057,142.5,1,"Yes",51.29,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,58.3234719449172,52.3741609678431,"Euarchontoglires",0.903089986991944,0.954242509439325,2.15381486434453,1,0,3
"4924","Ochotona roylei","roylei","Ochotona",23,214,22,62,8,0.129,7,3,"Ochotonidae","Lagomorpha",289789,260,1,"Yes",30.071517,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,77.8338667702425,32.7671889762701,"Euarchontoglires",0.903089986991944,0.954242509439325,2.41497334797082,1,0,3
"4925","Ochotona rufescens","rufescens","Ochotona",66,501,42,52,12,0.231,13,1,"Ochotonidae","Lagomorpha",132953,250,1,"Yes",34.583328,"Least Concern","research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,58.7479612379612,33.4382192890864,"Euarchontoglires",1.07918124604762,1.11394335230684,2.39794000867204,1,1,3
"4926","Ochotona rutila","rutila","Ochotona",1,45,1,17,1,0.059,1,0,"Ochotonidae","Lagomorpha",691099,182.02,2,"Yes",39.973545,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,69.0000000000001,39.5238421578375,"Euarchontoglires",0,0.301029995663981,2.26011911003137,1,0,3
"4927","Ochotona sikimaria","sikimaria","Ochotona",2,8,2,4,1,0.25,0,1,"Ochotonidae","Lagomorpha",5925521,NA,NA,"Yes",27.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,89,27,"Euarchontoglires",0,0.301029995663981,NA,NA,0,3
"4928","Ochotona sushkini","sushkini","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654376,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4929","Ochotona syrinx","syrinx","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7067142,NA,NA,"Yes",35.8,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,103,36.0253780849221,"Euarchontoglires",-Inf,0,NA,1,0,3
"4930","Ochotona thibetana","thibetana","Ochotona",11,184,8,24,7,0.292,5,2,"Ochotonidae","Lagomorpha",289793,83.1,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.845098040014257,0.903089986991944,1.91960102378411,1,0,3
"4931","Ochotona thomasi","thomasi","Ochotona",1,45,1,17,1,0.059,1,0,"Ochotonidae","Lagomorpha",781525,111.63,2,"Yes",32.93,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,101,33,"Euarchontoglires",0,0.301029995663981,2.0477809247412,1,0,3
"4932","Ochotona turuchanensis","turuchanensis","Ochotona",2,14,2,18,2,0.111,0,0,"Ochotonidae","Lagomorpha",511397,142.15,0,"Yes",69.05,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,90.0000000000006,69.0227483415382,"Euarchontoglires",0.301029995663981,0.477121254719662,2.15274686402646,1,0,3
"4933","Ochotona wollastoni","wollastoni","Ochotona",0,0,0,NA,0,0,0,0,"Ochotonidae","Lagomorpha",7654377,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"4934","Ochrotomys nuttalli","nuttalli","Ochrotomys",57,817,30,47,16,0.34,24,1,"Cricetidae","Rodentia",612152,22.37,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.20411998265592,1.23044892137827,1.34966598409663,1,0,3
"4935","Octodon bridgesi","bridgesi","Octodon",10,129,7,31,8,0.258,5,0,"Octodontidae","Rodentia",620801,150,1,"Yes",-39.81722,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-71.9858461207621,-39.0495575070798,"Euarchontoglires",0.903089986991944,0.954242509439325,2.17609125905568,2,0,3
"4936","Octodon degus","degus","Octodon",628,16382,278,65,61,0.938,399,11,"Octodontidae","Rodentia",692698,210,1,"Yes",-33.349998,"Least Concern","establishing_ex_situ_production","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated",NA,-71.0000000000004,-32.0874675073505,"Euarchontoglires",1.78532983501077,1.79239168949825,2.32221929473392,1,1,2
"4937","Octodon lunatus","lunatus","Octodon",7,98,5,19,6,0.316,3,1,"Octodontidae","Rodentia",964569,233,1,"Yes",-33.266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-71,-33,"Euarchontoglires",0.778151250383644,0.845098040014257,2.36735592102602,NA,0,3
