"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"27","Acerodon mackloti","mackloti","Acerodon",1,17,1,31,1,0.032,1,0,"Pteropodidae","Chiroptera",3613523,470.33,1,"Yes",-8.066667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,123,-9,"Laurasiatheria",0,0.301029995663981,2.67240268110399,2,1,3
"28","Acinonyx jubatus","jubatus","Acinonyx",810,20885,291,59,71,1.203,425,16,"Felidae","Carnivora",752759,46700,1,"Yes",-24.59102,"Vulnerable","establishing_ex_situ_production","handicrafts_jewellery","pets_display_animals_horticulture","research","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated",NA,26.4150631492351,-22.9131013957721,"Laurasiatheria",1.85125834871908,1.85733249643127,4.66931688056611,2,1,2
"29","Acinonyx pardinensis","pardinensis","Acinonyx",14,214,12,26,10,0.385,10,0,"Felidae","Carnivora",7656114,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",1,1.04139268515822,NA,NA,0,3
"30","Acomys airensis","airensis","Acomys",4,105,3,46,3,0.065,3,0,"Muridae","Rodentia",3608603,28.81,0,"Yes",19.4,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-9.00000000000001,17.0026683611809,"Euarchontoglires",0.477121254719662,0.602059991327962,1.45954325828041,1,0,3
"31","Acomys cahirinus","cahirinus","Acomys",439,6695,227,116,41,0.353,204,9,"Muridae","Rodentia",816259,52.45,1,"Yes",28.516666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,32.55546498387,27.0175448109036,"Euarchontoglires",1.61278385671974,1.6232492903979,1.71974549252958,1,0,3
"32","Acomys chudeaui","chudeaui","Acomys",1,32,1,12,1,0.083,1,0,"Muridae","Rodentia",487174,28.81,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,1.45954325828041,NA,0,3
"33","Acomys cilicicus","cilicicus","Acomys",13,95,9,26,6,0.231,4,1,"Muridae","Rodentia",173081,28.61,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.778151250383644,0.845098040014257,1.45651785780526,NA,0,3
"34","Acomys cineraceus","cineraceus","Acomys",2,21,2,22,2,0.091,1,0,"Muridae","Rodentia",1043426,30.59,2,"Yes",10.87,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-0.597971376553495,11.6104428141027,"Euarchontoglires",0.301029995663981,0.477121254719662,1.48557947698468,1,0,3
"35","Acomys dimidiatus","dimidiatus","Acomys",49,399,36,33,12,0.364,16,3,"Muridae","Rodentia",996659,28.81,0,"Yes",31.63,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,35.0167941862198,31.0556504582743,"Euarchontoglires",1.07918124604762,1.11394335230684,1.45954325828041,1,0,3
"36","Acomys ignitus","ignitus","Acomys",1,19,1,20,1,0.05,1,0,"Muridae","Rodentia",368525,24,1,"Yes",-3.633333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,38,-4.00244214969981,"Euarchontoglires",0,0.301029995663981,1.38021124171161,1,0,3
"37","Acomys johannis","johannis","Acomys",3,45,3,25,3,0.12,2,0,"Muridae","Rodentia",905136,28.81,0,"Yes",11.3414545,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,2.33498469893667,11.6734121743135,"Euarchontoglires",0.477121254719662,0.602059991327962,1.45954325828041,1,0,3
"38","Acomys kempi","kempi","Acomys",1,60,1,5,1,0.2,1,0,"Muridae","Rodentia",501413,22,1,"Yes",0.441816,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,37.7998048347546,0.600940784397495,"Euarchontoglires",0,0.301029995663981,1.34242268082221,1,0,3
