"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"190","Anoura latidens","Phyllostomidae",14.65,1
"191","Anoura luismanueli","Phyllostomidae",14.05,0
"192","Anourosorex assamensis","Soricidae",20,0
"193","Anourosorex schmidi","Soricidae",20,0
"194","Anourosorex squamipes","Soricidae",20,1
"195","Anourosorex yamashinai","Soricidae",20,0
"196","Antechinomys laniger","Dasyuridae",25.57,1
"197","Antechinus adustus","Dasyuridae",36,1
"198","Antechinus agilis","Dasyuridae",22.13,1
"199","Antechinus bellus","Dasyuridae",44.5,1
"200","Antechinus flavipes","Dasyuridae",45,1
"201","Antechinus godmani","Dasyuridae",76.5,1
"202","Antechinus leo","Dasyuridae",74,1
"203","Antechinus minimus","Dasyuridae",53.5,1
"204","Antechinus stuartii","Dasyuridae",27.5,1
"205","Antechinus subtropicus","Dasyuridae",59.5,1
"206","Antechinus swainsonii","Dasyuridae",53,1
"207","Anthops ornatus","Hipposideridae",8,1
"208","Antidorcas marsupialis","Bovidae",31500,1
"209","Antilocapra americana","Antilocapridae",46082.92,1
"210","Antilope cervicapra","Bovidae",37500,1
"211","Antrozous pallidus","Vespertilionidae",20.8,1
"212","Aonyx capensis","Mustelidae",18999.84,1
"213","Aonyx cinerea","Mustelidae",3527.59,1
"214","Aotus azarae","Aotidae",929.57,1
"215","Aotus hershkovitzi","Aotidae",800,1
"216","Aotus lemurinus","Aotidae",872.99,1
"217","Aotus miconax","Aotidae",800,1
"218","Aotus nancymaae","Aotidae",788.01,1
"219","Aotus nigriceps","Aotidae",1060.01,1
"220","Aotus trivirgatus","Aotidae",899.99,1
"221","Aotus vociferans","Aotidae",872.99,1
"222","Aplodontia rufa","Aplodontiidae",1003.99,1
"223","Apodemus agrarius","Muridae",23.3,1
"224","Apodemus alpicola","Muridae",28.06,1
"225","Apodemus argenteus","Muridae",21,1
"226","Apodemus chevrieri","Muridae",32.9,1
"227","Apodemus draco","Muridae",22.25,1
"228","Apodemus epimelas","Muridae",28.07,0
"229","Apodemus flavicollis","Muridae",26.7,1
"230","Apodemus gurkha","Muridae",39.9,1
"231","Apodemus hyrcanicus","Muridae",25.76,2
"232","Apodemus latronum","Muridae",35.2,1
"233","Apodemus mystacinus","Muridae",45.6,1
"234","Apodemus pallipes","Muridae",25.68,2
"235","Apodemus peninsulae","Muridae",32.9,1
"236","Apodemus ponticus","Muridae",25.76,2
"237","Apodemus rusiges","Muridae",25.67,2
"238","Apodemus semotus","Muridae",25.77,1
"239","Apodemus speciosus","Muridae",33.8,1
"240","Apodemus sylvaticus","Muridae",30.45,1
"241","Apodemus uralensis","Muridae",17.1,1
"242","Apodemus witherbyi","Muridae",20.66,1
"243","Apomys abrae","Muridae",56.6,1
"244","Apomys datae","Muridae",106,1
"245","Apomys gracilirostris","Muridae",43.08,0
"246","Apomys hylocetes","Muridae",34.88,1
"247","Apomys insignis","Muridae",29.9,1
"248","Apomys littoralis","Muridae",30.95,1
"249","Apomys microdon","Muridae",35.1,1
"250","Apomys musculus","Muridae",21.2,1
"251","Apomys sacobianus","Muridae",82.4,1
"252","Aproteles bulmerae","Pteropodidae",600,1
"253","Arborimus albipes","Cricetidae",23,1
"254","Arborimus longicaudus","Cricetidae",21.8,1
"255","Arborimus pomo","Cricetidae",32.5,1
"256","Archboldomys luzonensis","Muridae",35.4,1
"257","Archboldomys musseri","Muridae",35.4,0
"258","Arctictis binturong","Viverridae",9875,1
"259","Arctocebus aureus","Lorisidae",235,1
"260","Arctocebus calabarensis","Lorisidae",210,1
"261","Arctocephalus australis","Otariidae",45000,1
"262","Arctocephalus forsteri","Otariidae",101250,1
"263","Arctocephalus galapagoensis","Otariidae",27000,1
"264","Arctocephalus gazella","Otariidae",97500,1
"265","Arctocephalus philippii","Otariidae",95000,1
"266","Arctocephalus pusillus","Otariidae",178500,1
"267","Arctocephalus townsendi","Otariidae",105000,1
"268","Arctocephalus tropicalis","Otariidae",84000,1
"269","Arctogalidia trivirgata","Viverridae",2250,1
"270","Arctonyx collaris","Mustelidae",6356,1
"271","Ardops nichollsi","Phyllostomidae",17.16,1
"272","Arielulus aureocollaris","Vespertilionidae",10.4,0
"273","Arielulus circumdatus","Vespertilionidae",10.4,1
"274","Arielulus cuprosus","Vespertilionidae",10.4,0
"275","Arielulus societatis","Vespertilionidae",8.03,2
"276","Arielulus torquatus","Vespertilionidae",10.4,0
"277","Ariteus flavescens","Phyllostomidae",11.9,1
"278","Artibeus amplus","Phyllostomidae",60,1
"279","Artibeus anderseni","Phyllostomidae",138,1
"280","Artibeus aztecus","Phyllostomidae",20.38,1
"281","Artibeus cinereus","Phyllostomidae",12.63,1
"282","Artibeus concolor","Phyllostomidae",19.35,1
"283","Artibeus fimbriatus","Phyllostomidae",63.9,1
"284","Artibeus fraterculus","Phyllostomidae",36,2
"285","Artibeus glaucus","Phyllostomidae",11.06,1
"286","Artibeus gnomus","Phyllostomidae",10.06,1
"287","Artibeus hirsutus","Phyllostomidae",38.73,1
"288","Artibeus incomitatus","Phyllostomidae",26.52,0
"289","Artibeus inopinatus","Phyllostomidae",29.3,1
"290","Artibeus jamaicensis","Phyllostomidae",42.17,1
"291","Artibeus lituratus","Phyllostomidae",60.54,1
"292","Artibeus obscurus","Phyllostomidae",35.2,1
"293","Artibeus phaeotis","Phyllostomidae",11.59,1
"294","Artibeus toltecus","Phyllostomidae",15.4,1
"295","Artibeus watsoni","Phyllostomidae",11.2,1
"296","Arvicanthis abyssinicus","Muridae",77.1,1
"297","Arvicanthis ansorgei","Muridae",102.35,0
"298","Arvicanthis blicki","Muridae",128,1
"299","Arvicanthis nairobae","Muridae",104,1
"300","Arvicanthis neumanni","Muridae",98.36,2
"301","Arvicanthis niloticus","Muridae",106.9,1
"302","Arvicanthis rufinus","Muridae",102.35,0
"303","Arvicola amphibius","Cricetidae",120,1
"304","Arvicola sapidus","Cricetidae",220,1
"305","Arvicola scherman","Cricetidae",162.48,0
"306","Asellia patrizii","Hipposideridae",14.1,2
"307","Asellia tridens","Hipposideridae",11.93,1
"308","Aselliscus stoliczkanus","Hipposideridae",4.9,1
"309","Aselliscus tricuspidatus","Hipposideridae",4.1,1
"310","Atelerix albiventris","Erinaceidae",600,1
"311","Atelerix algirus","Erinaceidae",1250,1
"312","Atelerix frontalis","Erinaceidae",309.5,1
"313","Atelerix sclateri","Erinaceidae",539.15,2
"314","Ateles belzebuth","Atelidae",5000,1
"315","Ateles chamek","Atelidae",5999.98,1
"316","Ateles fusciceps","Atelidae",9100,1
"317","Ateles geoffroyi","Atelidae",5284.94,1
"318","Ateles hybridus","Atelidae",6394.85,0
"319","Ateles marginatus","Atelidae",5999.98,1
"320","Ateles paniscus","Atelidae",7900.05,1
"321","Atelocynus microtis","Canidae",7749.97,1
"322","Atherurus africanus","Hystricidae",1934,1
"323","Atherurus macrourus","Hystricidae",2000,1
"324","Atilax paludinosus","Herpestidae",3299.97,1
"325","Atlantoxerus getulus","Sciuridae",251,1
"326","Auliscomys boliviensis","Cricetidae",65.7,1
"327","Auliscomys pictus","Cricetidae",54.7,1
"328","Auliscomys sublimis","Cricetidae",38,1
"329","Avahi laniger","Indriidae",900,1
"330","Avahi occidentalis","Indriidae",800,1
"331","Avahi unicolor","Indriidae",848.53,0
"332","Axis axis","Cervidae",67281.85,1
"333","Axis calamianensis","Cervidae",40500,1
"334","Axis kuhlii","Cervidae",55000,1
"335","Axis porcinus","Cervidae",34418.5,1
"336","Babyrousa babyrussa","Suidae",1e+05,1
"337","Babyrousa bolabatuensis","Suidae",1e+05,0
"338","Babyrousa celebensis","Suidae",1e+05,0
"339","Babyrousa togeanensis","Suidae",1e+05,0
"340","Baiomys musculus","Cricetidae",9,1
"341","Baiomys taylori","Cricetidae",8,1
