species,median_lat,order
Arctonyx collaris,27.066666,Carnivora
Ardops nichollsi,15.587735314698946,Chiroptera
Arielulus aureocollaris,20.262,Chiroptera
Arielulus circumdatus,12.18,Chiroptera
Arielulus cuprosus,1.116806,Chiroptera
Ariteus flavescens,18.433001,Chiroptera
Artibeus amplus,5.175,Chiroptera
Artibeus concolor,4.63,Chiroptera
Artibeus fimbriatus,-23.77444,Chiroptera
Artibeus fraterculus,-4.108,Chiroptera
Artibeus hirsutus,21.184380743938977,Chiroptera
Artibeus inopinatus,13.39894,Chiroptera
Artibeus intermedius,18.6,Chiroptera
Artibeus lituratus,5.8,Chiroptera
Artibeus obscurus,3.93,Chiroptera
Artibeus schwartzi,13.169639,Chiroptera
Artiocetus clavis,30.088888,Cetacea
Arvicanthis abyssinicus,7.62,Rodentia
Arvicanthis ansorgei,12.55,Rodentia
Arvicanthis blicki,6.983333,Rodentia
Arvicanthis ectos,32.67,Rodentia
Arvicanthis nairobae,-1.2167,Rodentia
Arvicanthis neumanni,-7.68125,Rodentia
Arvicanthis niloticus,7.533333,Rodentia
Arvicanthis rufinus,6.2333,Rodentia
Arvicanthis somalicus,-1.497182,Rodentia
Arvicanthis testicularis,12.0598,Rodentia
Arvicola amphibius,52.9096,Rodentia
Arvicola sapidus,42.75,Rodentia
Arvicola scherman,46.63661,Rodentia
Asellia arabica,16.65,Chiroptera
Asellia italosomalica,15.466666,Chiroptera
Asellia patrizii,16.70222,Chiroptera
Asellia tridens,30.77,Chiroptera
Aselliscus stoliczkanus,21.66666,Chiroptera
Aselliscus tricuspidatus,-4.35,Chiroptera
Atelerix albiventris,10.87,Erinaceomorpha
Atelerix algirus,39.25,Erinaceomorpha
Atelerix frontalis,-24.557045000000002,Erinaceomorpha
Ateles marginatus,-9.492321,Primates
Ateles paniscus,2.83333,Primates
Atelocynus microtis,-10.133333,Carnivora
Atherurus africanus,0.5,Rodentia
Atherurus macrourus,19.516666,Rodentia
Atilax paludinosus,-12.480081,Carnivora
Atlantoxerus getulus,28.613169,Rodentia
Auliscomys boliviensis,-16.9333315,Rodentia
Auliscomys pictus,-14.55552213618898,Rodentia
Auliscomys sublimis,-16.066667,Rodentia
Australopithecus ramidus,5.5917,Primates
Avahi cleesei,-19.000307,Primates
Avahi laniger,-18.69508,Primates
Avahi meridionalis,-24.852413,Primates
Avahi mooreorum,-15.67661,Primates
Avahi occidentalis,-16.319097,Primates
Avahi peyrierasi,-21.317579,Primates
Avahi ramanantsoavani,-23.0269,Primates
Avahi unicolor,-13.75,Primates
Axis axis,22.411028,Artiodactyla
Axis calamianensis,11.9167,Artiodactyla
Axis kuhlii,-5.847339,Artiodactyla
Babyrousa babyrussa,-2,Artiodactyla
Babyrousa celebensis,0.316667,Artiodactyla
Baiomys musculus,18.186111,Rodentia
Baiomys taylori,22.359100144682248,Rodentia
Baiyankamys shawmayeri,-5.936171164467387,Rodentia
Balaena montalionis,44.0034735,Cetacea
Balaena mysticetus,71.29060581932386,Cetacea
Balaena ricei,37.039165,Cetacea
Balaenella brachyrhynus,51.261944,Cetacea
Balaenoptera bertae,36.971939,Cetacea
Balaenoptera bonaerensis,-63.5,Cetacea
Balaenoptera borealis,42.45,Cetacea
Balaenoptera brydei,-27.95,Cetacea
Balaenoptera edeni,6.384308000000001,Cetacea
Balaenoptera musculus,-60.5,Cetacea
Balaenoptera omurai,-11.509746,Cetacea
Balaenoptera physalus,42.8662,Cetacea
Balaenoptera siberi,-15.52,Cetacea
Balaenula astensis,44.957779,Cetacea
Balantiopteryx io,17.241667,Chiroptera
Balantiopteryx plicata,18.649444,Chiroptera
Balionycteris maculata,2.85,Chiroptera
Bandicota bengalensis,22.58333,Rodentia
Bandicota indica,23.226841,Rodentia
Bandicota savilei,14.333333,Rodentia
Barbastella barbastellus,46.94644,Chiroptera
Barbastella darjelingensis,28.33,Chiroptera
Barbastella leucomelas,30.45,Chiroptera
Bassaricyon alleni,-3.333333,Carnivora
Bassariscus astutus,25.833333,Carnivora
Bassariscus sumichrasti,16.2625,Carnivora
Bathyergus janetta,-30.37,Rodentia
Bathyergus suillus,-33.952058,Rodentia
Batomys granti,17.022131,Rodentia
Batomys hamiguitan,6.7175,Rodentia
Batomys russatus,10.34,Rodentia
Batomys salomonseni,8.6959,Rodentia
Batomys uragon,13.6667,Rodentia
Bdeogale jacksoni,0.203869,Carnivora
Bdeogale nigripes,1.15,Carnivora
Beamys hindei,-6.90547,Rodentia
Beamys major,-9.661321000000001,Rodentia
Beatragus hunteri,-0.396866,Artiodactyla
Belomys pearsonii,25.66667,Rodentia
Berardius arnuxii,-51.273610000000005,Cetacea
Berardius bairdii,35.6,Cetacea
Berardius minimus,44.10995,Cetacea
Berylmys berdmorei,17.5611,Rodentia
Berylmys bowersi,21.683331,Rodentia
Berylmys mackenziei,25.466669,Rodentia
Berylmys manipulus,25.299999,Rodentia
Bettongia gaimardi,-41.9242395,Diprotodontia
Bettongia lesueur,-33.180346,Diprotodontia
Bettongia tropica,-17.025812,Diprotodontia
Bibimys labiosus,-23.209722,Rodentia
Bibimys torresi,-34.173237,Rodentia
Bison antiquus,29.35,Artiodactyla
Bison schoetensacki,52.4192,Artiodactyla
Blanfordimys afghanus,34.549999,Rodentia
Blarina brevicauda,42.625835,Soricomorpha
Blarina carolinensis,34.53903,Soricomorpha
Blarina hylophaga,39.04857691362127,Soricomorpha
Blarina peninsulae,27.97843,Soricomorpha
Blarinella griselda,25.30788,Soricomorpha
Blarinella quadraticauda,30.333334,Soricomorpha
Blarinella wardi,26,Soricomorpha
Blarinomys breviceps,-20.603611,Rodentia
Blastocerus dichotomus,-28.02456,Artiodactyla
Borophagus diversidens,29.84,Carnivora
Borophagus littoralis,35.299999,Carnivora
Borophagus parvus,34.700001,Carnivora
Borophagus secundus,35,Carnivora
Bos grunniens,48.13,Artiodactyla
Bos sauveli,12.566335653016015,Artiodactyla
Bos taurus,-15.1004165,Artiodactyla
Boselaphus tragocamelus,26.825257,Artiodactyla
Brachiones przewalskii,38.25,Rodentia
Brachylagus idahoensis,41.96066752616405,Lagomorpha
Brachyphylla cavernarum,18.057893,Chiroptera
Brachyrhynchocyon sesnoni,43.5,Carnivora
Brachytarsomys albicauda,-19.296434,Rodentia
Brachytarsomys villosa,-14.7741665,Rodentia
Brachyteles arachnoides,-20.7667,Primates
Brachyteles hypoxanthus,-20.278311,Primates
Brachyuromys betsileoensis,-21.22,Rodentia
Brachyuromys ramirohitra,-21.2233335,Rodentia
Bradypus pygmaeus,9.05264,Pilosa
Bradypus torquatus,-19.929431,Pilosa
Bradypus tridactylus,5.028824999999999,Pilosa
Brandtocetus chongulek,45.175001,Cetacea
Brotomys contractus,18.72,Rodentia
Brotomys voratus,18.32,Rodentia
Brucepattersonius guarani,-27.209546,Rodentia
Brucepattersonius igniventris,-24.333333,Rodentia
Brucepattersonius iheringi,-26.98333,Rodentia
Brucepattersonius misionensis,-27.080132499999998,Rodentia
Brucepattersonius paradisus,-26.4536245,Rodentia
Brucepattersonius soricinus,-23.93405957553353,Rodentia
Bubalus depressicornis,0.316667,Artiodactyla
Bubalus mindorensis,12.9787185,Artiodactyla
Bubalus quarlesi,-1.938559,Artiodactyla
Bullimus bagobus,8.217,Rodentia
Bullimus gamay,9.1832,Rodentia
Bullimus luzonicus,16.25527,Rodentia
Bunolagus monticularis,-29.3613295,Lagomorpha
Bunomys andrewsi,-2.79281,Rodentia
Bunomys chrysocomus,-1.183333,Rodentia
Bunomys coelestis,-5.304112,Rodentia
Bunomys fratrorum,1.10607,Rodentia
Bunomys karokophilus,-1.183333,Rodentia
Bunomys penitus,-3.40755,Rodentia
Bunomys prolatus,-1.212911,Rodentia
Burramys parvus,-36.420355,Diprotodontia
Cabassous centralis,6.02,Cingulata
Cabassous chacoensis,-27.0958635,Cingulata
Cabassous tatouay,-25.709615,Cingulata
Cabassous unicinctus,0.48547,Cingulata
Cacajao melanocephalus,1.497128,Primates
Cacajao rubicundus,-8.2498205,Primates
Caedocyon tedfordi,42,Carnivora
Caenolestes caniventer,-5.268429,Paucituberculata
Caenolestes condorensis,-3.4504165,Paucituberculata
Caenolestes convelatus,6.0833335,Paucituberculata
Caenolestes fuliginosus,4.49537,Paucituberculata
Caenolestes sangay,-2.2374395,Paucituberculata
Callicebus melanochir,-12.68189,Primates
Callicebus nigrifrons,-20.581972999999998,Primates
Callimico goeldii,-8.666667,Primates
Callistomys pictus,-11.28517,Rodentia
Callithrix aurita,-21.14414,Primates
Callithrix flaviceps,-19.935556,Primates
Callithrix geoffroyi,-1.333,Primates
Callithrix humeralifer,-3.124012,Primates
Callithrix jacchus,-16.032590143580283,Primates
Callithrix kuhlii,-15.391743,Primates
Callithrix penicillata,-19.953433,Primates
Callorhinus ursinus,56.87582,Carnivora
Callosciurus adamsi,5.873574,Rodentia
Callosciurus baluensis,6.02477,Rodentia
Callosciurus inornatus,21.766665500000002,Rodentia
Callosciurus nigrovittatus,-6.33293,Rodentia
Callosciurus notatus,1.3631989999999998,Rodentia
Callosciurus orestes,6.0801,Rodentia
Callosciurus phayrei,18.933332,Rodentia
Callosciurus pygerythrus,26.608788,Rodentia
Callosciurus quinquestriatus,25.564125,Rodentia
