"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication"
"121","Ovibos moschatus","moschatus","Ovibos",378,6832,180,360,6,156,41,0.263,202,12,123197,"Bovidae","Artiodactyla",340501.06,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61278385671974,1.6232492903979,5.53211846823539,NA,NA,"","Partially-domesticated"
"122","Ovis aries","aries","Ovis",45355,1097388,3077,41393,1631,90,248,2.756,25566,37,70819,"Bovidae","Artiodactyla",50000,1,"No",NA,"Not Applicable","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39445168082622,2.39619934709574,4.69897000433602,NA,NA,"","Domesticated"
"123","Pecari tajacu","tajacu","Pecari",433,6980,195,397,13,85,40,0.471,180,10,1037242,"Tayassuidae","Artiodactyla",21266.69,1,"No",NA,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60205999132796,1.61278385671974,4.32769990049989,NA,NA,"","Partially-domesticated"
"124","Petaurus australis","australis","Petaurus",78,2046,30,76,1,38,29,0.763,51,2,630919,"Petauridae","Diprotodontia",575,1,"Yes",-34.9442435,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46239799789896,1.47712125471966,2.75966784468963,148.510921694649,-31.9427525729907,"","Partially-domesticated"
"125","Petaurus breviceps","breviceps","Petaurus",214,5082,98,194,16,78,36,0.462,120,7,423936,"Petauridae","Diprotodontia",106.28,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55630250076729,1.56820172406699,2.02645154573824,NA,NA,"","Partially-domesticated"
"126","Phodopus campbelli","campbelli","Phodopus",136,2236,66,131,1,34,26,0.765,63,3,136847,"Cricetidae","Rodentia",23.4,1,"Yes",47.08,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41497334797082,1.43136376415899,1.36921585741014,93.8487842131964,48.2473141003121,"","Partially-domesticated"
"127","Phodopus roborovskii","roborovskii","Phodopus",74,501,54,69,0,39,11,0.282,13,4,9032,"Cricetidae","Rodentia",18.75,1,"Yes",44.96,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515822,1.07918124604762,1.27300127206374,100.400477708316,45.4969956658906,"","Partially-domesticated"
"128","Phodopus sungorus","sungorus","Phodopus",837,20196,261,812,10,54,68,1.259,502,11,764831,"Cricetidae","Rodentia",33.75,1,"Yes",52.7025,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83250891270624,1.83884909073726,1.52827377716704,105,38.0272909449615,"","Partially-domesticated"
"129","Prionailurus bengalensis","bengalensis","Prionailurus",235,4426,131,218,6,56,33,0.589,89,9,280108,"Felidae","Carnivora",3300,1,"No",NA,"Least Concern","food_human","handicrafts_jewellery","medicine","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.53147891704226,3.51851393987789,NA,NA,"","Partially-domesticated"
"130","Prionailurus rubiginosus","rubiginosus","Prionailurus",20,60,13,19,0,24,4,0.167,1,3,507541,"Felidae","Carnivora",1384.38,1,"Yes",7.3,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,3.14125531645828,81,8.00490832203993,"","Partially-domesticated"
"131","Prionailurus viverrinus","viverrinus","Prionailurus",46,630,34,42,1,56,12,0.214,14,3,862641,"Felidae","Carnivora",9140.33,1,"Yes",19.766667,"Vulnerable","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,3.96096187566729,80.3344247404952,7.67110293456823,"","Partially-domesticated"
"132","Procyon lotor","lotor","Procyon",1595,34593,418,0,0,109,75,0.688,885,15,348040,"Procyonidae","Carnivora",5524.97,1,"No",NA,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8750612633917,1.88081359228079,3.74232992419066,NA,NA,"","Partially-domesticated"
