"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"374","Cryptochloris wintoni","Chrysochloridae",25,0
"375","Eremitalpa granti","Chrysochloridae",26.1,1
"376","Amblysomus corriae","Chrysochloridae",52.6,0
"377","Amblysomus hottentotus","Chrysochloridae",52.6,1
"378","Amblysomus marleyi","Chrysochloridae",52.6,0
"379","Amblysomus robustus","Chrysochloridae",52.6,0
"380","Amblysomus septentrionalis","Chrysochloridae",52.6,0
"381","Calcochloris obtusirostris","Chrysochloridae",24.05,1
"382","Calcochloris leucorhinus","Chrysochloridae",49.7,2
"383","Calcochloris tytonis","Chrysochloridae",49.7,2
"384","Neamblysomus julianae","Chrysochloridae",21.99,1
"385","Neamblysomus gunningi","Chrysochloridae",35.84,2
"386","Elephantulus rupestris","Macroscelididae",66.4,1
"387","Elephantulus brachyrhynchus","Macroscelididae",47.5,1
"388","Elephantulus edwardii","Macroscelididae",48,1
"389","Elephantulus fuscipes","Macroscelididae",57,1
"390","Elephantulus fuscus","Macroscelididae",52.56,2
"391","Elephantulus intufi","Macroscelididae",49.5,1
"392","Elephantulus myurus","Macroscelididae",52.4,1
"393","Elephantulus revoili","Macroscelididae",32.5,1
"394","Elephantulus rozeti","Macroscelididae",48,1
"395","Elephantulus rufescens","Macroscelididae",37.5,1
"396","Macroscelides proboscideus","Macroscelididae",38.2,1
"397","Petrodromus tetradactylus","Macroscelididae",187.5,1
"398","Rhynchocyon chrysopygus","Macroscelididae",540,1
"399","Rhynchocyon cirnei","Macroscelididae",490,1
"400","Rhynchocyon petersi","Macroscelididae",424,1
"401","Orycteropus afer","Orycteropodidae",52350.4,1
"402","Dendrohyrax arboreus","Procaviidae",2949.99,1
"403","Dendrohyrax dorsalis","Procaviidae",3175,1
"404","Heterohyrax brucei","Procaviidae",2625,1
"405","Procavia capensis","Procaviidae",3029.98,1
"406","Elephas maximus","Elephantidae",2915040,1
"407","Loxodonta africana","Elephantidae",3940034.28,1
"408","Loxodonta cyclotis","Elephantidae",4750000.01,1
"409","Dugong dugon","Dugongidae",310000,1
"410","Trichechus inunguis","Trichechidae",480000,1
"411","Trichechus manatus","Trichechidae",433333,1
"412","Trichechus senegalensis","Trichechidae",454000,1
"413","Dasypus septemcinctus","Dasypodidae",1526.65,1
"414","Dasypus yepesi","Dasypodidae",2785.87,0
"415","Dasypus sabanicola","Dasypodidae",1150.01,1
"416","Dasypus pilosus","Dasypodidae",4444.98,1
"417","Dasypus novemcinctus","Dasypodidae",4203.78,1
"418","Dasypus kappleri","Dasypodidae",9500,1
"419","Dasypus hybridus","Dasypodidae",1500,1
"420","Calyptophractus retusus","Dasypodidae",129.99,1
"421","Chaetophractus nationi","Dasypodidae",2150.01,1
"422","Chaetophractus vellerosus","Dasypodidae",1030.01,1
"423","Chaetophractus villosus","Dasypodidae",4540.04,1
"424","Chlamyphorus truncatus","Dasypodidae",44.3,1
"425","Euphractus sexcinctus","Dasypodidae",4782.89,1
"426","Zaedyus pichiy","Dasypodidae",1380,1
"427","Cabassous unicinctus","Dasypodidae",4799.99,1
"428","Cabassous centralis","Dasypodidae",3809.96,1
"429","Cabassous chacoensis","Dasypodidae",1490.01,1
"430","Cabassous tatouay","Dasypodidae",5349.95,1
"431","Priodontes maximus","Dasypodidae",45359.68,1
"432","Tolypeutes matacus","Dasypodidae",1200,1
"433","Tolypeutes tricinctus","Dasypodidae",1487,1
"434","Bradypus pygmaeus","Bradypodidae",4022.57,0
"435","Bradypus torquatus","Bradypodidae",3899.96,1
"436","Bradypus tridactylus","Bradypodidae",3849.99,1
"437","Bradypus variegatus","Bradypodidae",4335.01,1
"438","Choloepus didactylus","Megalonychidae",5160,1
"439","Choloepus hoffmanni","Megalonychidae",4750.01,1
"440","Cyclopes didactylus","Cyclopedidae",329.5,1
"441","Myrmecophaga tridactyla","Myrmecophagidae",22333.15,1
"442","Tamandua mexicana","Myrmecophagidae",4209.98,1
"443","Tamandua tetradactyla","Myrmecophagidae",5515.06,1
"444","Anathana ellioti","Tupaiidae",160,1
"445","Dendrogale melanura","Tupaiidae",60,1
"446","Dendrogale murina","Tupaiidae",50,1
"447","Tupaia moellendorffi","Tupaiidae",150.45,0
"448","Tupaia gracilis","Tupaiidae",74.58,1
"449","Tupaia tana","Tupaiidae",197.83,1
"450","Tupaia splendidula","Tupaiidae",160,1
"451","Tupaia picta","Tupaiidae",147.5,1
"452","Tupaia palawanensis","Tupaiidae",168.05,1
"453","Tupaia nicobarica","Tupaiidae",170.25,1
"454","Tupaia montana","Tupaiidae",199,1
"455","Tupaia belangeri","Tupaiidae",200,1
"456","Tupaia javanica","Tupaiidae",105,1
"457","Tupaia minor","Tupaiidae",64.28,1
"458","Tupaia glis","Tupaiidae",169.83,1
"459","Tupaia dorsalis","Tupaiidae",265,1
"460","Tupaia chrysogaster","Tupaiidae",131.08,2
"461","Tupaia longipes","Tupaiidae",168.05,1
"462","Urogale everetti","Tupaiidae",350,1
"463","Ptilocercus lowii","Ptilocercidae",41.88,1
"464","Cynocephalus volans","Cynocephalidae",1250,1
"465","Galeopterus variegates","Cynocephalidae",1112.2,1
